"Uniprot_ID","unique_id","start_pos","end_pos","num_residues","fp","fn","ncpr","tcpr"
"Q9H0W5","Q9H0W5_494_510",494,510,17,0.235294117647059,0,0.235294117647059,0.235294117647059
"P24864","P24864_96_378",96,378,283,0.0989399293286219,0.123674911660777,-0.0247349823321555,0.222614840989399
"Q9UHD1","Q9UHD1_1_68",1,68,68,0.132352941176471,0.117647058823529,0.0147058823529412,0.25
"P09603","P09603_33_181",33,181,149,0.10738255033557,0.161073825503356,-0.0536912751677852,0.268456375838926
"O15234","O15234_1_703",1,703,703,0.122332859174964,0.136557610241821,-0.0142247510668563,0.258890469416785
"Q13042","Q13042_1_620",1,620,620,0.111290322580645,0.146774193548387,-0.0354838709677419,0.258064516129032
"Q8N684","Q8N684_50_182",50,182,133,0.150375939849624,0.0977443609022556,0.0526315789473684,0.24812030075188
"Q5VV41","Q5VV41_622_687",622,687,66,0.0909090909090909,0.181818181818182,-0.0909090909090909,0.272727272727273
"O96018","O96018_55_72",55,72,18,0,0.166666666666667,-0.166666666666667,0.166666666666667
"P46100","P46100_159_296",159,296,138,0.108695652173913,0.130434782608696,-0.0217391304347826,0.239130434782609
"P46100","P46100_1256_1289",1256,1289,34,0.117647058823529,0.382352941176471,-0.264705882352941,0.5
"Q96DR7","Q96DR7_42_52",42,52,11,0,0.0909090909090909,-0.0909090909090909,0.0909090909090909
"O00213","O00213_240_290",240,290,51,0.0392156862745098,0.117647058823529,-0.0784313725490196,0.156862745098039
"Q6ZUJ8","Q6ZUJ8_7_142",7,142,136,0.0955882352941176,0.132352941176471,-0.0367647058823529,0.227941176470588
"Q8WXF7","Q8WXF7_1_447",1,447,447,0.125279642058166,0.145413870246085,-0.0201342281879195,0.270693512304251
"O14497","O14497_1000_1119",1000,1119,120,0.15,0.125,0.025,0.275
"Q9UHR4","Q9UHR4_339_402",339,402,64,0.140625,0.125,0.015625,0.265625
"P55345","P55345_33_87",33,87,55,0.0909090909090909,0.145454545454545,-0.0545454545454545,0.236363636363636
"Q9Y4X5","Q9Y4X5_1_557",1,557,557,0.111310592459605,0.172351885098743,-0.0610412926391382,0.283662477558348
