"Uniprot_ID","unique_id","N_Terminal_Status","C_Terminal_Status","Non_Tail_Status","FD_IDR_terminal_dist","start_pos","end_pos","num_residues","fp","fn","ncpr","tcpr"
"Q9H0W5","Q9H0W5_47_477",0,0,1,NA,47,477,431,0.157772621809745,0.164733178654292,-0.00696055684454756,0.322505800464037
"Q9H0W5","Q9H0W5_499_538",0,1,0,-11,499,538,40,0.2,0.175,0.025,0.375
"P24864","P24864_1_45",1,0,0,51,1,45,45,0.266666666666667,0.266666666666667,0,0.533333333333333
"P24864","P24864_377_410",0,1,0,-1,377,410,34,0.117647058823529,0.0588235294117647,0.0588235294117647,0.176470588235294
"Q9UHD1","Q9UHD1_60_81",0,0,1,NA,60,81,22,0.227272727272727,0.181818181818182,0.0454545454545455,0.409090909090909
"Q9UHD1","Q9UHD1_308_332",0,1,0,240,308,332,25,0.16,0.2,-0.04,0.36
"P09603","P09603_197_494",0,0,1,NA,197,494,298,0.0771812080536913,0.110738255033557,-0.0335570469798658,0.187919463087248
"P09603","P09603_524_554",0,1,0,343,524,554,31,0.0645161290322581,0.225806451612903,-0.161290322580645,0.290322580645161
"Q9BS18","Q9BS18_30_55",0,0,1,NA,30,55,26,0.0384615384615385,0.269230769230769,-0.230769230769231,0.307692307692308
"O15234","O15234_1_703",1,0,0,-702,1,703,703,0.122332859174964,0.136557610241821,-0.0142247510668563,0.258890469416785
"Q13042","Q13042_572_620",0,1,0,-48,572,620,49,0.0816326530612245,0.244897959183673,-0.163265306122449,0.326530612244898
"Q8N684","Q8N684_1_69",1,0,0,-19,1,69,69,0.0579710144927536,0.231884057971014,-0.173913043478261,0.289855072463768
"Q8N684","Q8N684_158_337",0,0,1,NA,158,337,180,0.0888888888888889,0.0611111111111111,0.0277777777777778,0.15
"Q8N684","Q8N684_400_471",0,1,0,218,400,471,72,0.277777777777778,0.194444444444444,0.0833333333333333,0.472222222222222
"Q12860","Q12860_687_720",0,0,1,NA,687,720,34,0.117647058823529,0.0882352941176471,0.0294117647058824,0.205882352941176
"Q02318","Q02318_32_54",0,0,1,NA,32,54,23,0.173913043478261,0.0434782608695652,0.130434782608696,0.217391304347826
"Q5VV41","Q5VV41_1_77",1,0,0,545,1,77,77,0.103896103896104,0.12987012987013,-0.025974025974026,0.233766233766234
"Q5VV41","Q5VV41_95_249",0,0,1,NA,95,249,155,0.167741935483871,0.141935483870968,0.0258064516129032,0.309677419354839
"O95931","O95931_109_228",0,0,1,NA,109,228,120,0.116666666666667,0.141666666666667,-0.025,0.258333333333333
"O96018","O96018_1_214",1,0,0,-159,1,214,214,0.0280373831775701,0.200934579439252,-0.172897196261682,0.228971962616822
"O96018","O96018_228_265",0,0,1,NA,228,265,38,0.131578947368421,0.157894736842105,-0.0263157894736842,0.289473684210526
"P46100","P46100_1_160",1,0,0,-1,1,160,160,0.14375,0.2,-0.05625,0.34375
"P46100","P46100_298_337",0,0,1,NA,298,337,40,0.2,0.175,0.025,0.375
"P46100","P46100_422_1518",0,0,1,NA,422,1518,1097,0.216955332725615,0.22151321786691,-0.00455788514129444,0.438468550592525
"P46100","P46100_1912_2003",0,0,1,NA,1912,2003,92,0.16304347826087,0.16304347826087,0,0.326086956521739
"P46100","P46100_2438_2492",0,1,0,1149,2438,2492,55,0.109090909090909,0.0181818181818182,0.0909090909090909,0.127272727272727
"Q96DR7","Q96DR7_1_249",1,0,0,-207,1,249,249,0.116465863453815,0.0763052208835341,0.0401606425702811,0.192771084337349
"Q96DR7","Q96DR7_280_314",0,0,1,NA,280,314,35,0.0857142857142857,0.2,-0.114285714285714,0.285714285714286
"Q96DR7","Q96DR7_325_344",0,0,1,NA,325,344,20,0.2,0.1,0.1,0.3
"Q96DR7","Q96DR7_388_407",0,0,1,NA,388,407,20,0.15,0.45,-0.3,0.6
"O00213","O00213_1_25",1,0,0,215,1,25,25,0,0,0,0
"O00213","O00213_45_367",0,0,1,NA,45,367,323,0.0681114551083591,0.204334365325077,-0.136222910216718,0.272445820433437
"P01023","P01023_1178_1198",0,0,1,NA,1178,1198,21,0.142857142857143,0.142857142857143,0,0.285714285714286
"Q6ZUJ8","Q6ZUJ8_142_176",0,0,1,NA,142,176,35,0.0571428571428571,0.228571428571429,-0.171428571428571,0.285714285714286
"Q6ZUJ8","Q6ZUJ8_517_549",0,0,1,NA,517,549,33,0.0606060606060606,0.212121212121212,-0.151515151515152,0.272727272727273
"Q6ZUJ8","Q6ZUJ8_565_600",0,0,1,NA,565,600,36,0.166666666666667,0.0833333333333333,0.0833333333333333,0.25
"Q6ZUJ8","Q6ZUJ8_637_805",0,1,0,495,637,805,169,0.189349112426035,0.118343195266272,0.0710059171597633,0.307692307692308
"P56945","P56945_66_212",0,0,1,NA,66,212,147,0.054421768707483,0.0476190476190476,0.00680272108843537,0.102040816326531
"P56945","P56945_228_452",0,0,1,NA,228,452,225,0.0844444444444444,0.155555555555556,-0.0711111111111111,0.24
