2000	1.919	6.938	
4000	1.961	3.633	
6000	1.987	4.225	
8000	1.918	3.889	
10000	1.909	3.381	
12000	1.985	3.602	
14000	1.842	6.014	
16000	1.945	5.509	
18000	1.930	4.880	
20000	1.962	3.730	
22000	1.899	4.792	
24000	1.997	5.283	
26000	2.150	4.370	
28000	2.037	4.016	
30000	1.983	5.440	
32000	1.946	4.745	
34000	1.848	3.247	
36000	1.949	6.351	
38000	2.022	6.026	
40000	1.952	4.135	
42000	1.987	5.235	
44000	1.997	5.485	
46000	1.935	3.801	
48000	1.924	4.509	
50000	1.941	5.177	
52000	1.878	7.563	
54000	2.065	4.987	
56000	1.894	5.578	
58000	1.937	4.925	
60000	1.917	4.227	
62000	1.914	4.345	
64000	1.872	5.534	
66000	2.014	5.466	
68000	1.952	3.932	
70000	1.964	4.821	
72000	1.993	5.987	
74000	2.014	5.640	
76000	1.927	4.862	
78000	1.898	3.423	
80000	1.901	4.181	
82000	1.906	3.515	
84000	1.892	4.107	
86000	1.879	5.471	
88000	2.030	6.809	
90000	2.039	4.333	
92000	1.849	6.222	
94000	1.860	4.500	
96000	1.914	4.536	
98000	1.918	4.027	
100000	2.056	4.482	
