




Analysis Type:	PANTHER Overrepresentation Test (Released 20220712)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20589)	Client Text Box Input (1027)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
negative regulation of DNA recombination (GO:0045910)	17	10	.85	+	11.79	2.26E-07	6.87E-06
chromosome condensation (GO:0030261)	19	11	.95	+	11.61	6.27E-08	2.14E-06
regulation of DNA recombination (GO:0000018)	26	12	1.30	+	9.25	1.07E-07	3.48E-06
negative regulation of DNA metabolic process (GO:0051053)	23	10	1.15	+	8.72	1.91E-06	4.66E-05
nucleosome organization (GO:0034728)	38	16	1.90	+	8.44	2.30E-09	1.00E-07
interstrand cross-link repair (GO:0036297)	10	4	.50	+	8.02	3.46E-03	3.34E-02
mitotic sister chromatid cohesion (GO:0007064)	10	4	.50	+	8.02	3.46E-03	3.32E-02
chromatin remodeling (GO:0006338)	77	30	3.84	+	7.81	1.26E-15	2.00E-13
DNA synthesis involved in DNA repair (GO:0000731)	11	4	.55	+	7.29	4.54E-03	4.15E-02
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	14	5	.70	+	7.16	1.60E-03	1.76E-02
regulation of double-strand break repair (GO:2000779)	14	5	.70	+	7.16	1.60E-03	1.75E-02
chromatin assembly (GO:0031497)	46	16	2.29	+	6.97	2.09E-08	7.47E-07
DNA packaging (GO:0006323)	54	18	2.69	+	6.68	4.77E-09	1.96E-07
microtubule depolymerization (GO:0007019)	18	6	.90	+	6.68	7.30E-04	9.10E-03
chromatin assembly or disassembly (GO:0006333)	48	16	2.39	+	6.68	3.41E-08	1.18E-06
positive regulation of DNA-templated transcription, elongation (GO:0032786)	16	5	.80	+	6.26	2.58E-03	2.63E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	23	7	1.15	+	6.10	4.17E-04	5.78E-03
chromatin organization (GO:0006325)	118	35	5.89	+	5.95	5.24E-15	7.75E-13
regulation of DNA metabolic process (GO:0051052)	54	16	2.69	+	5.94	1.32E-07	4.20E-06
DNA conformation change (GO:0071103)	74	20	3.69	+	5.42	1.36E-08	5.30E-07
DNA-templated transcription, elongation (GO:0006354)	28	7	1.40	+	5.01	1.12E-03	1.31E-02
regulation of protein depolymerization (GO:1901879)	28	7	1.40	+	5.01	1.12E-03	1.30E-02
DNA recombination (GO:0006310)	115	26	5.74	+	4.53	2.48E-09	1.06E-07
negative regulation of protein-containing complex disassembly (GO:0043242)	27	6	1.35	+	4.46	4.17E-03	3.87E-02
protein-DNA complex subunit organization (GO:0071824)	83	18	4.14	+	4.35	1.17E-06	3.16E-05
regulation of protein-containing complex disassembly (GO:0043244)	37	8	1.85	+	4.33	1.14E-03	1.31E-02
chromosome organization (GO:0051276)	256	53	12.77	+	4.15	3.36E-16	5.73E-14
regulation of response to DNA damage stimulus (GO:2001020)	29	6	1.45	+	4.15	5.64E-03	4.91E-02
ribosomal large subunit biogenesis (GO:0042273)	52	10	2.59	+	3.86	6.36E-04	8.11E-03
centrosome cycle (GO:0007098)	37	7	1.85	+	3.79	4.40E-03	4.04E-02
RNA splicing (GO:0008380)	221	40	11.02	+	3.63	5.63E-11	2.98E-09
regulation of microtubule cytoskeleton organization (GO:0070507)	39	7	1.95	+	3.60	5.66E-03	4.91E-02
meiotic chromosome segregation (GO:0045132)	39	7	1.95	+	3.60	5.66E-03	4.89E-02
double-strand break repair via homologous recombination (GO:0000724)	68	12	3.39	+	3.54	3.78E-04	5.31E-03
