




Analysis Type:	PANTHER Overrepresentation Test (Released 20220712)
Annotation Version and Release Date:	PANTHER version 17.0 Released 2022-02-22
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20589)	Client Text Box Input (1176)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of mRNA splicing, via spliceosome (GO:0048024)	48	26	2.74	+	9.48	4.63E-15	8.56E-13
regulation of mRNA processing (GO:0050684)	58	29	3.31	+	8.75	6.19E-16	1.53E-13
mRNA cis splicing, via spliceosome (GO:0045292)	8	4	.46	+	8.75	2.96E-03	4.21E-02
regulation of RNA splicing (GO:0043484)	75	37	4.28	+	8.64	8.47E-20	2.35E-17
alternative mRNA splicing, via spliceosome (GO:0000380)	31	13	1.77	+	7.34	3.38E-07	2.28E-05
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	27	11	1.54	+	7.13	3.41E-06	1.54E-04
calcium ion import (GO:0070509)	40	16	2.28	+	7.00	2.56E-08	2.37E-06
calcium ion transmembrane import into cytosol (GO:0097553)	38	15	2.17	+	6.91	8.02E-08	6.60E-06
calcium ion transport into cytosol (GO:0060402)	39	15	2.23	+	6.73	1.06E-07	8.37E-06
mRNA splicing, via spliceosome (GO:0000398)	176	66	10.05	+	6.57	9.32E-29	5.18E-26
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	176	66	10.05	+	6.57	9.32E-29	4.14E-26
RNA splicing, via transesterification reactions (GO:0000375)	176	66	10.05	+	6.57	9.32E-29	3.45E-26
cytosolic calcium ion transport (GO:0060401)	47	17	2.68	+	6.33	3.13E-08	2.78E-06
regulation of synaptic plasticity (GO:0048167)	25	9	1.43	+	6.30	5.85E-05	1.62E-03
positive regulation of translation (GO:0045727)	28	10	1.60	+	6.25	2.41E-05	8.35E-04
RNA splicing (GO:0008380)	221	77	12.62	+	6.10	1.23E-31	1.37E-28
mRNA processing (GO:0006397)	229	79	13.08	+	6.04	3.41E-32	7.58E-29
positive regulation of cellular amide metabolic process (GO:0034250)	30	10	1.71	+	5.84	3.91E-05	1.17E-03
microtubule depolymerization (GO:0007019)	18	6	1.03	+	5.84	1.43E-03	2.33E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	24	7	1.37	+	5.11	1.11E-03	1.87E-02
regulation of mRNA metabolic process (GO:1903311)	110	32	6.28	+	5.09	3.78E-12	5.25E-10
regulation of microtubule cytoskeleton organization (GO:0070507)	39	11	2.23	+	4.94	5.83E-05	1.64E-03
mRNA metabolic process (GO:0016071)	316	88	18.05	+	4.88	5.18E-30	3.84E-27
positive regulation of mRNA metabolic process (GO:1903313)	49	13	2.80	+	4.64	2.19E-05	7.83E-04
mRNA transport (GO:0051028)	34	9	1.94	+	4.63	4.06E-04	8.50E-03
RNA transport (GO:0050658)	51	13	2.91	+	4.46	3.13E-05	1.01E-03
nucleic acid transport (GO:0050657)	51	13	2.91	+	4.46	3.13E-05	9.92E-04
establishment of RNA localization (GO:0051236)	51	13	2.91	+	4.46	3.13E-05	9.78E-04
RNA export from nucleus (GO:0006405)	48	12	2.74	+	4.38	7.35E-05	2.01E-03
RNA localization (GO:0006403)	56	14	3.20	+	4.38	1.88E-05	6.97E-04
mRNA export from nucleus (GO:0006406)	33	8	1.88	+	4.24	1.37E-03	2.28E-02
calcium ion transmembrane transport (GO:0070588)	80	19	4.57	+	4.16	1.25E-06	6.93E-05
regulation of microtubule-based process (GO:0032886)	58	13	3.31	+	3.92	9.74E-05	2.51E-03
RNA processing (GO:0006396)	481	102	27.47	+	3.71	1.94E-26	6.14E-24
positive regulation of gene expression (GO:0010628)	126	26	7.20	+	3.61	1.65E-07	1.22E-05
nucleobase-containing compound transport (GO:0015931)	64	13	3.66	+	3.56	2.28E-04	5.27E-03
positive regulation of cytosolic calcium ion concentration (GO:0007204)	85	17	4.86	+	3.50	3.13E-05	9.64E-04
calcium ion transport (GO:0006816)	99	19	5.65	+	3.36	1.81E-05	7.19E-04
microtubule polymerization or depolymerization (GO:0031109)	47	9	2.68	+	3.35	2.91E-03	4.16E-02
nuclear export (GO:0051168)	67	12	3.83	+	3.14	1.05E-03	1.79E-02
chromatin organization (GO:0006325)	118	21	6.74	+	3.12	1.83E-05	7.15E-04
regulation of cytosolic calcium ion concentration (GO:0051480)	100	17	5.71	+	2.98	1.82E-04	4.29E-03
