#File Plotted Below: p8_pa_errrors.txt

    #Fit from 0.01-0.15 with polymer MFF
#Initial search parameter for I0 = 0.024195974500000002
#Initial search parameter for Rg = 30.000000000000004
#Initial search parameter for nu = 0.499880565034448
#BestFit for I0 = 0.02865 +- 0.00013
#BestFit for I(0)/I0 = 1.00000 +- 0.00469
#BestFit for Rg = 24.26642 +- 0.10768
#BestFit for nu = 0.53887 +- 0.00971
#BestFit reduced chisquared = 1.43227
#-------------
#-------------

    #q,I(q),Error,fit,I(q)/I0,Error/I0,fit/I0,qRg,((qRg)^2)I(q)/I0,((qRg)^2)*Error/I0,((qRg)^2)*fit/I0
0.02921,0.02555,0.00046,0.02423,0.89193,0.01610,0.84575,0.70882,0.44813,0.00809,0.42493
0.02954,0.02386,0.00045,0.02414,0.83284,0.01567,0.84263,0.71692,0.42806,0.00805,0.43309
0.02988,0.02574,0.00046,0.02405,0.89851,0.01615,0.83949,0.72502,0.47231,0.00849,0.44128
0.03021,0.02481,0.00046,0.02396,0.86594,0.01591,0.83634,0.73312,0.46542,0.00855,0.44950
0.03055,0.02439,0.00045,0.02387,0.85151,0.01581,0.83317,0.74122,0.46783,0.00868,0.45775
0.03088,0.02403,0.00045,0.02378,0.83877,0.01571,0.82998,0.74932,0.47096,0.00882,0.46602
0.03121,0.02367,0.00045,0.02368,0.82643,0.01562,0.82678,0.75742,0.47412,0.00896,0.47431
0.03155,0.02284,0.00044,0.02359,0.79744,0.01540,0.82356,0.76553,0.46732,0.00902,0.48263
0.03188,0.02341,0.00045,0.02350,0.81735,0.01555,0.82032,0.77363,0.48918,0.00931,0.49096
0.03221,0.02365,0.00045,0.02341,0.82574,0.01561,0.81708,0.78173,0.50461,0.00954,0.49931
0.03255,0.02316,0.00044,0.02331,0.80838,0.01548,0.81381,0.78983,0.50429,0.00966,0.50768
0.03288,0.02373,0.00045,0.02322,0.82851,0.01564,0.81054,0.79793,0.52750,0.00995,0.51606
0.03322,0.02394,0.00045,0.02312,0.83586,0.01569,0.80725,0.80603,0.54305,0.01019,0.52446
0.03355,0.02351,0.00045,0.02303,0.82057,0.01558,0.80395,0.81413,0.54388,0.01032,0.53286
0.03388,0.02364,0.00045,0.02294,0.82537,0.01561,0.80063,0.82223,0.55800,0.01055,0.54128
0.03422,0.02291,0.00044,0.02284,0.79978,0.01542,0.79731,0.83033,0.55141,0.01063,0.54970
0.03455,0.02307,0.00044,0.02274,0.80529,0.01546,0.79397,0.83843,0.56609,0.01087,0.55814
0.03488,0.02333,0.00044,0.02265,0.81453,0.01553,0.79062,0.84653,0.58371,0.01113,0.56658
0.03522,0.02346,0.00045,0.02255,0.81907,0.01556,0.78726,0.85463,0.59824,0.01137,0.57502
