method	time	challenge
B001_ANCHOR	3964.2869999999994	binding
B002_ANCHOR-2	72.16499999999999	binding
D026_AUCpreD	170946.552	disorder
D027_AUCpreD-np	1390.008	disorder
D032_DFLpred	134.25300000000001	disorder
D011_DISOPRED-3.1	1149133.625	disorder
B013_DISOPRED-3.1-binding	1149133.625	binding
D017_DisEMBL-465	3964.2869999999994	disorder
D016_DisEMBL-HL	3964.2869999999994	disorder
D010_DisPredict-2	688865.4829345795	disorder
D024_DisoMine	2486.593	disorder
B007_DisoRDPbind	745.5519999999999	binding
B009_DisoRDPbind-DNA	745.5519999999999	binding
B008_DisoRDPbind-RNA	745.5519999999999	binding
B010_DisoRDPbind-protein	745.5519999999999	binding
D033_DynaMine	3964.2869999999994	disorder
D018_ESpritz-D	3964.2869999999994	disorder
D019_ESpritz-N	3964.2869999999994	disorder
D020_ESpritz-X	3964.2869999999994	disorder
D007_FoldUnfold	11.483999999999998	disorder
D009_GlobPlot	3964.2869999999994	disorder
D005_IUPred-long	3964.2869999999994	disorder
D006_IUPred-short	3964.2869999999994	disorder
D003_IUPred2A-long	72.16499999999999	disorder
D004_IUPred2A-short	89.111	disorder
D008_IsUnstruct	6.9079999999999995	disorder
D031_JRONN	3964.2869999999994	disorder
B004_MoRFchibi-light	2328.21	binding
B005_MoRFchibi-web	69667.136	binding
D021_MobiDB-lite	3964.2869999999994	disorder
B012_OPAL	539883.9949345794	binding
D002_Predisorder	548039.199	disorder
D001_PyHCA	1040.23	disorder
D025_RawMSA	231818.565	disorder
D022_S2D-1	70026.54500000001	disorder
D023_S2D-2	81428.03899999999	disorder
D030_SPOT-Disorder-Single	20389.162	disorder
D028_SPOT-Disorder1	472997.25893457944	disorder
D029_SPOT-Disorder2	2491281.2294679126	disorder
D015_VSL2B	3964.2869999999994	disorder
D013_fIDPln	3120358.7250000006	disorder
D014_fIDPnn	3120358.7250000006	disorder
B011_fMoRFpred	591.039	binding
