200, C1, 0.5385, 0.2755, 0.0826, 0.0440, 0.0150, 0.0081, 0.0051, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
400, C1, 0.3846, 0.1837, 0.0780, 0.0233, 0.0017, 0.0012, 0.0017, 0.0007, 0.0010, 0.0004, 0.0010, 0.0014, 0.0002, 0.0006, 0.0004, 
480, C1, 0.4231, 0.2245, 0.0963, 0.0492, 0.0150, 0.0069, 0.0076, 0.0013, 0.0005, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
560, C1, 0.7692, 0.3265, 0.1330, 0.0207, 0.0066, 0.0023, 0.0025, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
580, C1, 0.8846, 0.3061, 0.0734, 0.0337, 0.0150, 0.0058, 0.0017, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
600, C1, 0.5385, 0.3571, 0.1193, 0.0207, 0.0100, 0.0069, 0.0025, 0.0007, 0.0005, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
620, C1, 0.8846, 0.3571, 0.0550, 0.0311, 0.0150, 0.0092, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
640, C1, 0.3077, 0.2755, 0.1239, 0.0389, 0.0166, 0.0092, 0.0025, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
660, C1, 0.5385, 0.3571, 0.0872, 0.0207, 0.0133, 0.0058, 0.0068, 0.0013, 0.0005, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
680, C1, 0.8077, 0.3163, 0.1009, 0.0259, 0.0050, 0.0058, 0.0034, 0.0020, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
700, C1, 0.8462, 0.3776, 0.0642, 0.0259, 0.0150, 0.0081, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 
