Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 9.512560e-002  1.447055e-002  3.484013e-004
 9.789630e-002  1.495654e-002  3.357543e-004
 1.006670e-001  1.453347e-002  3.227078e-004
 1.034380e-001  1.460109e-002  3.075613e-004
 1.062080e-001  1.444169e-002  2.974750e-004
 1.089790e-001  1.445368e-002  2.893888e-004
 1.117490e-001  1.418536e-002  2.785048e-004
 1.145200e-001  1.442519e-002  2.698435e-004
 1.172910e-001  1.436234e-002  2.618248e-004
 1.200610e-001  1.443700e-002  2.549743e-004
 1.228320e-001  1.409760e-002  2.492495e-004
 1.256030e-001  1.471064e-002  2.409263e-004
 1.283730e-001  1.402229e-002  2.348123e-004
 1.311440e-001  1.403081e-002  2.312873e-004
 1.339150e-001  1.429900e-002  2.254219e-004
 1.366850e-001  1.382046e-002  2.202391e-004
 1.394560e-001  1.416663e-002  2.168355e-004
 1.422270e-001  1.373625e-002  2.117983e-004
 1.449970e-001  1.370908e-002  2.084975e-004
 1.477680e-001  1.370420e-002  2.034031e-004
 1.505380e-001  1.406594e-002  2.008072e-004
 1.533090e-001  1.391236e-002  1.988510e-004
 1.560800e-001  1.326403e-002  1.952065e-004
 1.588500e-001  1.345284e-002  1.913932e-004
 1.616210e-001  1.340904e-002  1.893665e-004
 1.643920e-001  1.326860e-002  1.859400e-004
 1.671620e-001  1.300855e-002  1.833947e-004
 1.699330e-001  1.333469e-002  1.811758e-004
 1.727040e-001  1.273315e-002  1.782398e-004
 1.754740e-001  1.300569e-002  1.771186e-004
 1.782450e-001  1.298001e-002  1.737883e-004
 1.810160e-001  1.293753e-002  1.732547e-004
 1.837860e-001  1.285355e-002  1.689691e-004
 1.865570e-001  1.258142e-002  1.692865e-004
 1.893270e-001  1.230496e-002  1.702286e-004
 1.920980e-001  1.269898e-002  1.721676e-004
 1.948690e-001  1.211272e-002  1.692296e-004
 1.976390e-001  1.184184e-002  1.687118e-004
 2.004100e-001  1.135874e-002  1.689946e-004
 2.031810e-001  1.196541e-002  1.701635e-004
 2.059510e-001  1.187268e-002  1.664333e-004
 2.087220e-001  1.173941e-002  1.684588e-004
 2.114930e-001  1.152528e-002  1.656674e-004
 2.142630e-001  1.129260e-002  1.659143e-004
 2.170340e-001  1.131265e-002  1.656143e-004
 2.198050e-001  1.142931e-002  1.632741e-004
 2.225750e-001  1.105772e-002  1.643784e-004
 2.253460e-001  1.100875e-002  1.613729e-004
 2.281160e-001  1.109507e-002  1.624997e-004
 2.308870e-001  1.084386e-002  1.603884e-004
 2.336580e-001  1.081547e-002  1.612794e-004
 2.364280e-001  1.076641e-002  1.587222e-004
 2.391990e-001  1.078483e-002  1.577454e-004
 2.419700e-001  1.068970e-002  1.581229e-004
 2.447400e-001  1.037840e-002  1.568450e-004
 2.475110e-001  1.016116e-002  1.558899e-004
 2.502820e-001  1.018701e-002  1.548405e-004
 2.530520e-001  9.974391e-003  1.536098e-004
 2.558230e-001  1.007764e-002  1.540229e-004
 2.585940e-001  9.871182e-003  1.525724e-004
 2.613640e-001  9.907078e-003  1.523569e-004
 2.641350e-001  9.721458e-003  1.505927e-004
 2.669060e-001  9.736878e-003  1.513555e-004
 2.696760e-001  9.461050e-003  1.503032e-004
 2.724470e-001  9.448868e-003  1.477020e-004
 2.752170e-001  9.310664e-003  1.486951e-004
 2.779880e-001  8.999854e-003  1.470284e-004
 2.807590e-001  9.144645e-003  1.473572e-004
 2.835290e-001  9.134440e-003  1.455228e-004
 2.863000e-001  9.313779e-003  1.461095e-004
 2.890710e-001  8.976422e-003  1.443625e-004
 2.918410e-001  8.727423e-003  1.431912e-004
 2.946120e-001  8.729744e-003  1.438849e-004
 2.973830e-001  8.860955e-003  1.432436e-004
 3.001530e-001  8.494434e-003  1.428071e-004
 3.029240e-001  8.506765e-003  1.411427e-004
 3.056950e-001  8.287508e-003  1.396649e-004
 3.084650e-001  8.188205e-003  1.396846e-004
 3.112360e-001  8.160841e-003  1.396723e-004
 3.140060e-001  8.068702e-003  1.392808e-004
 3.167770e-001  7.858423e-003  1.377822e-004
 3.195480e-001  7.984806e-003  1.370794e-004
 3.223180e-001  8.045002e-003  1.364095e-004
 3.250890e-001  7.978032e-003  1.359622e-004
 3.278600e-001  7.763099e-003  1.360096e-004
 3.306300e-001  7.748265e-003  1.350638e-004
 3.334010e-001  7.658936e-003  1.350501e-004
 3.361720e-001  7.754051e-003  1.339033e-004
 3.389420e-001  7.303882e-003  1.331879e-004
 3.417130e-001  7.251702e-003  1.337779e-004
 3.444840e-001  7.309226e-003  1.371067e-004
 3.472540e-001  7.282726e-003  1.400464e-004
 3.500250e-001  7.231544e-003  1.389721e-004
 3.527950e-001  7.033213e-003  1.390746e-004
 3.555660e-001  6.978572e-003  1.400759e-004
 3.583370e-001  6.555219e-003  1.400950e-004
 3.611070e-001  6.885526e-003  1.423884e-004
 3.638780e-001  6.840749e-003  1.413833e-004
 3.666490e-001  6.750496e-003  1.429812e-004
 3.694190e-001  6.344119e-003  1.417560e-004
 3.721900e-001  6.924793e-003  1.427136e-004
 3.749610e-001  6.417005e-003  1.431675e-004
 3.777310e-001  6.443375e-003  1.422382e-004
 3.805020e-001  6.450596e-003  1.456863e-004
 3.832730e-001  6.130219e-003  1.429157e-004
 3.860430e-001  6.145939e-003  1.432918e-004
 3.888140e-001  6.532298e-003  1.450375e-004
 3.915840e-001  6.223498e-003  1.431630e-004
 3.943550e-001  6.146780e-003  1.440606e-004
 3.971260e-001  6.046537e-003  1.455932e-004
 3.998960e-001  6.033163e-003  1.441534e-004
 4.026670e-001  5.747384e-003  1.441963e-004
 4.054380e-001  5.967188e-003  1.433003e-004
 4.082080e-001  5.663725e-003  1.425468e-004
 4.109790e-001  5.905465e-003  1.386027e-004
 4.137500e-001  5.530151e-003  1.361659e-004
 4.165200e-001  5.724451e-003  1.356372e-004
 4.192910e-001  5.424376e-003  1.319384e-004
 4.220620e-001  5.444562e-003  1.324709e-004
 4.248320e-001  5.391856e-003  1.302593e-004
 4.276030e-001  5.704432e-003  1.317634e-004
 4.303730e-001  5.201187e-003  1.293511e-004
 4.331440e-001  5.297284e-003  1.281011e-004
 4.359150e-001  5.335782e-003  1.272021e-004
 4.386850e-001  5.162481e-003  1.269520e-004
 4.414560e-001  5.294742e-003  1.263776e-004
 4.442270e-001  5.044114e-003  1.258044e-004
 4.469970e-001  4.909335e-003  1.254793e-004
 4.497680e-001  4.916274e-003  1.236381e-004
 4.525390e-001  4.762393e-003  1.237346e-004
 4.553090e-001  4.946949e-003  1.228706e-004
 4.580800e-001  4.634000e-003  1.212980e-004
 4.608510e-001  4.650619e-003  1.219138e-004
 4.636210e-001  4.788363e-003  1.215599e-004
 4.663920e-001  4.697872e-003  1.212671e-004
 4.691620e-001  4.610988e-003  1.200109e-004
 4.719330e-001  4.678192e-003  1.195431e-004
 4.747040e-001  4.555189e-003  1.193900e-004
 4.774740e-001  4.365994e-003  1.183839e-004
 4.802450e-001  4.506351e-003  1.195675e-004
 4.830160e-001  4.483351e-003  1.175495e-004
 4.857860e-001  4.499665e-003  1.171835e-004
 4.885570e-001  4.151192e-003  1.164293e-004
 4.913280e-001  4.225096e-003  1.164384e-004
 4.940980e-001  4.300668e-003  1.157157e-004
 4.968690e-001  3.992976e-003  1.157102e-004
 4.996400e-001  4.076235e-003  1.157992e-004
 5.024100e-001  4.178614e-003  1.142709e-004
 5.051810e-001  4.172758e-003  1.143768e-004
 5.079510e-001  3.918487e-003  1.132132e-004
 5.107220e-001  4.068086e-003  1.138475e-004
