all,non_tail,N,C,N_w_pdb,C_w_pdb
P33151,P33151,Q5VTM2,Q9H0W5,P46100,P24864
Q9H0W5,Q9H0W5,P24864,Q8NEF3,P55345,P27540
Q9H0W5,Q9P209,Q5M9N0,P24864,Q9UHB7,Q8N157
Q9P209,Q9P209,Q9BWT7,Q9UHD1,Q9H4Z3,P35414
Q9P209,Q8NEF3,O75150,P09603,Q13542,P11021
Q8NEF3,Q8NEF3,Q8N684,O15078,P45973,Q8IW19
Q8NEF3,Q5VTM2,Q5JTY5,Q5M9N0,Q8NFD5,P55196
Q8NEF3,Q5VTM2,O95817,Q53HC0,Q9H3F6,Q9UBW5
Q5VTM2,Q5VTM2,Q5VV41,Q13042,P51686,Q13542
Q5VTM2,Q9UHD1,Q9NQW8,Q8N684,Q13185,Q00536
Q5VTM2,P09564,O96018,O43315,P11171,P09543
Q5VTM2,P09603,P51636,O95817,P55789,P62258
P24864,Q9BS18,P46100,Q9NQW8,Q9BR61,P30556
P24864,O15078,Q96DR7,P0CG41,P21730,P35226
Q9UHD1,O15078,O00213,Q8IV38,Q5JTC6,P28329
Q9UHD1,O15078,Q8IYS8,A4FU28,O15169,Q9NZN9
P09564,Q9BZP3,Q5TG92,P46100,Q8IYD1,P20749
P09603,Q5M9N0,Q9NPB3,Q8IYS8,P08912,O00555
P09603,Q5M9N0,Q9H425,Q7Z6R9,Q9H444,P34972
Q9BS18,Q5M9N0,Q96RK4,Q86TU6,Q6NS38,P78540
O15078,Q9HCU4,Q3KR37,Q6ZUJ8,Q9NZN5,P07492
O15078,Q9HCU4,Q9P281,Q9H1Z8,Q8N884,Q14CW9
O15078,Q9HCU4,P51451,Q96RK4,Q9NSY1,Q9BPX3
O15078,Q9HCU4,Q96KC9,Q3KR37,O14646,O60479
Q9BZP3,O43852,Q8N5I9,Q9H9P2,Q6DD88,P01282
Q5M9N0,Q9BWT7,Q8WXF7,Q96KC9,Q8WZ19,Q96QK1
Q5M9N0,Q9BWT7,Q8N9R6,Q8N5I9,Q08043,Q96CG3
Q5M9N0,Q9BWT7,O14497,Q9NW68,O15085,Q9Y5N6
Q5M9N0,Q9BWT7,P55345,Q9Y4F5,Q2M2I8,O14493
Q5M9N0,Q53HC0,Q5BKX8,Q9UHR4,Q01484,Q9H9B1
Q9HCU4,Q53HC0,O14647,Q8N129,Q9UQB9,P49674
Q9HCU4,Q53HC0,Q7Z7A1,Q6UXY1,Q99856,O60942
Q9HCU4,O75150,Q8TBY9,Q5BKX8,Q13363,O94868
Q9HCU4,O75150,Q9Y4X5,Q9NP70,Q99728,Q12906
O43852,O75150,A7E2S9,A0A1B0GUT2,Q99967,P56524
Q9BWT7,Q8N684,Q00994,O14647,Q16254,Q8IU57
Q9BWT7,Q12860,Q8NEN0,O94985,Q96KQ7,Q9H063
Q9BWT7,O95817,Q9P287,Q7Z7A1,Q9UI36,Q9NYG8
Q9BWT7,Q02318,Q5T9A4,Q8N319,Q9UKY1,Q6PKG0
Q9BWT7,Q5VV41,Q9H4A4,P51788,Q9BSF0,Q16644
Q53HC0,O95931,Q6ZS94,Q69YU5,Q9H4L7,A1Z1Q3
Q53HC0,A6NFN9,Q8N910,Q8IXM2,Q9BTP6,Q86U70
Q53HC0,Q5T7R7,Q9UPS8,A7E2S9,P08670,Q13636
Q53HC0,Q7L4P6,Q9UHB7,Q96N53,Q14240,Q5TCY1
O75150,Q7L4P6,Q9NY43,Q6ZS94,Q96RK0,Q9Y5W5
O75150,Q9NQW8,Q9Y2T1,Q9Y2J4,Q14451,P02724
O75150,Q9NQW8,P27540,P78369,Q9H840,O00470
O75150,O15204,Q3KP44,Q4LE39,Q9H9Z2,Q9BVG8
Q13042,O96018,Q96NY7,P16278,Q969R5,P13645
Q8N684,P46100,Q9H8W2,Q8N910,P47902,P15884
Q8N684,P46100,A0A096LP49,Q9NY43,Q9H8M2,O75909
Q8N684,P46100,Q8N111,P27540,Q7L2E3,Q71SY5
Q5JTY5,Q96DR7,Q8NCU1,P35222,Q9NZH6,P23443
O43315,Q96DR7,Q8WUD4,Q29836,Q14289,Q7Z5Q5
Q12860,Q96DR7,Q96C57,Q3KP44,O75122,O14879
O95817,O00213,Q8N157,P30450,P20807,O00175
O95817,Q8IYS8,Q92974,Q8NCU1,Q16644,Q9UQL6
O95817,Q8TAM1,Q5T686,Q9NRJ3,A6NHC0,O60308
Q02318,Q5TG92,Q16281,Q8WUD4,Q5XUX0,P10809
Q5VV41,Q9H425,P50553,Q96C57,Q14103,Q5JSP0
Q5VV41,P01023,P78358,Q8TAB7,Q96PZ0,Q92769
O95931,Q6ZUJ8,Q9Y2R0,P07766,Q13114,Q9UBW8
A6NFN9,Q6ZUJ8,Q99767,Q6PII3,Q5JUX0,O43390
Q5T7R7,Q6ZUJ8,Q86WG3,Q6UXH1,Q86VQ6,Q9UKV5
Q7L4P6,O76090,O75129,Q8N157,P13051,Q14541
Q7L4P6,O76090,Q9NQW6,Q92974,Q9H981,P22455
Q9NQW8,O76090,Q9NWQ9,Q5T686,Q92522,Q12929
Q9NQW8,O76090,Q96CP6,Q16281,Q8TDF6,Q7RTP6
Q9NQW8,P56945,Q5SW96,P50553,Q6ZN17,P21802
Q9NQW8,P56945,Q9NYJ1,O43633,Q15744,P10747
O15204,P56945,Q6P1S2,Q9GZN4,Q9BUB5,P39687
P0CG41,P56945,Q8N123,Q8IYL3,Q9NPI1,Q7Z6G8
Q8IV38,Q9NQ89,Q9H4Z3,Q6XD76,Q5QNW6,P53990
A4FU28,O94779,P53365,Q86VW2,Q9UK32,P02533
O96018,O94779,Q8IYS0,Q8IX94,Q8N4J0,Q0D2I5
O96018,O94779,A6NLC5,Q86WG3,Q7Z6V5,Q05195
P51636,Q3KR37,Q9UEY8,P46379,Q13838,P47871
P46100,Q3KR37,Q8IW19,P35414,O60674,Q92633
P46100,Q3KR37,Q9Y6H1,P11021,Q9HCU9,Q9NQ69
P46100,Q9P281,P51693,Q96CP6,O43739,Q99956
P46100,Q9P281,Q6NZI2,Q5SW96,Q9BZC1,Q86XR8
P46100,Q9P281,P07306,Q8NFU0,O43524,P25103
Q96DR7,Q9P281,Q8NDB2,Q9NYJ1,P61968,P08246
Q96DR7,Q9P281,Q9BZE9,Q8TED9,Q5SSJ5,Q07866
Q96DR7,Q9P281,Q6X4T0,Q9H4Z3,Q9UH77,P51787
Q96DR7,Q9P281,Q8NHH9,Q96G97,Q58F21,P17181
O00213,Q9P281,O14734,Q13444,Q8WWP7,P45984
O00213,Q9P281,Q8N7S6,A6NLC5,Q6PCT2,O75899
Q8IYS8,Q9P281,Q15172,P78357,A4D126,Q9UPN3
Q8IYS8,Q9P281,A2AJT9,Q9UEY8,O15488,Q86UL8
Q8IYS8,Q9P281,Q9HBZ2,Q6ZRV3,Q9Y6M4,Q8NHW3
Q8TAM1,Q9P281,Q86UB2,Q8IW19,Q9HBH9,Q96JP2
Q5TG92,Q9P281,O60423,F5H4A9,Q13794,Q06787
Q5TG92,Q9P281,O95076,Q6NZI2,Q9UER7,Q7L5D6
Q9NPB3,Q9P281,Q5SZD1,Q12996,Q9HCP0,Q96FZ2
Q7Z6R9,Q9P281,Q8N878,Q96BR5,P78368,Q96RG2
Q9H425,Q6ZVT6,Q9Y4X0,O95999,Q96J87,O14770
Q9H425,Q6ZVT6,Q9NS82,Q9BZE9,P12074,Q15642
Q86TU6,Q6ZVT6,Q13542,Q6X4T0,Q8N448,Q14678
P01023,Q6ZVT6,O43681,Q9BQI0,P22001,P19835
Q6ZUJ8,Q01850,Q9Y592,Q96L14,Q8WVC0,P05019
Q6ZUJ8,Q01850,Q00536,Q6NSI1,O15151,P26367
Q6ZUJ8,Q9NZP8,Q6P387,Q9ULZ1,O14519,P04085
Q6ZUJ8,Q9NZP8,Q9GZQ3,Q15172,O00311,Q6ZMJ4
O76090,Q9NZP8,O75128,Q9UBY8,O14556,P30414
O76090,Q9NXL2,Q711Q0,P55196,P26998,Q9NV56
O76090,Q9NXL2,Q96MC9,Q9HBZ2,P14416,O15379
O76090,O95393,O94989,Q86UB2,O95696,P49286
P56945,Q13825,Q8NEQ5,P26232,O43598,Q9Y253
P56945,Q96KC9,P45973,O60423,Q9UJY4,P60484
P56945,Q96KC9,Q96RY5,O95076,Q9H074,Q9Y2H9
P56945,A8K2U0,Q6ZSZ5,P30505,Q9UPN3,Q6P0Q8
Q9H1Z8,Q9Y294,Q8NDZ0,Q9UBW5,Q8N5Z5,Q14934
Q9NQ89,Q8N9R6,Q6ZU67,Q5SZD1,Q9Y5P4,Q8IYS5
Q96RK4,O14497,Q9ULM6,Q9NPY3,Q05397,Q04912
Q96RK4,O14497,Q8N1G2,Q9NS82,Q7L5D6,P29375
O94779,O14497,Q5T5A4,Q13542,Q8IVT5,P01258
O94779,Q9Y4F5,Q8NFC6,P36575,P10589,Q8WTU0
O94779,Q9Y4F5,Q9Y3M2,P30491,Q5T6F0,P02679
Q3KR37,Q86WJ1,Q92754,H3BU77,Q12791,P61073
Q3KR37,Q86WJ1,B1AJZ1,Q9BZB8,Q9NYV4,Q6P6C2
Q3KR37,P22570,Q6VUC0,Q00536,Q5T0T0,Q8WXD9
Q3KR37,Q9UHR4,P23634,P25054,Q9Y6F1,Q5TDH0
Q3KR37,Q9UHR4,A6NI87,P49336,P20393,P56178
Q9H9P2,Q9BZ76,Q8TCU4,P07358,O95340,P20290
Q9P281,Q9BZ76,Q9Y615,Q711Q0,P49023,Q15059
Q9P281,Q5H913,A8K010,Q5SYC1,Q9Y483,Q9Y6J0
Q9P281,Q9C0A0,Q674R7,Q9P218,P28698,Q9NR09
Q9P281,Q9C0A0,O75815,O94989,Q13765,P15336
Q9P281,Q96JQ2,Q9Y614,Q96RY5,Q9NZL4,P22607
Q9P281,Q96JQ2,Q86X02,Q6ZSZ5,Q8TBX8,Q8N8Q3
Q9P281,Q96JQ2,A1IGU5,Q8NDZ0,P29590,Q14919
Q9P281,Q96JQ2,L0R819,Q8IXH8,P19338,Q9UK99
Q9P281,Q96JQ2,Q9C0F0,O95628,O14593,Q9NQT8
Q9P281,Q96JQ2,P17405,Q6ZU67,P27448,Q15599
Q9P281,O60242,Q8NFD5,Q86UF2,Q9Y3B8,Q9Y255
Q9P281,O60242,Q6ZU35,Q5T5A4,Q9NWM3,Q5JU85
Q9P281,O60242,Q9H7T3,Q8NFC6,O43169,Q9Y6I3
Q9P281,O60242,Q8N326,Q92481,Q86U86,O60307
