all,non_tail,N,C,N_w_pdb,C_w_pdb
-31.0,-31.0,4.0,3.0,-22.0,-8.0
3.0,3.0,-8.0,20.0,-22.0,-8.0
3.0,-14.0,-14.0,-8.0,32.0,-8.0
-14.0,-14.0,-16.0,3.0,-1.0,1.0
-14.0,20.0,-14.0,-18.0,-2.0,-22.0
20.0,20.0,1.0,-47.0,-3.0,-27.0
20.0,4.0,-26.0,-14.0,-24.0,-23.0
20.0,4.0,-5.0,5.0,-4.0,-21.0
4.0,4.0,-2.0,-22.0,6.0,-2.0
4.0,3.0,3.0,1.0,-5.0,0.0
4.0,0.0,-38.0,1.0,-29.0,12.0
4.0,-18.0,-9.0,-5.0,1.0,-19.0
-8.0,-13.0,-22.0,3.0,-16.0,17.0
-8.0,-47.0,15.0,-29.0,10.0,8.0
3.0,-47.0,-37.0,-9.0,-78.0,16.0
3.0,-47.0,-6.0,-30.0,-8.0,-14.0
0.0,-3.0,14.0,-22.0,-21.0,4.0
-18.0,-14.0,-13.0,-6.0,25.0,32.0
-18.0,-14.0,-4.0,4.0,-15.0,5.0
-13.0,-14.0,-1.0,6.0,11.0,-7.0
-47.0,-102.0,-14.0,-30.0,-52.0,9.0
-47.0,-102.0,44.0,2.0,27.0,-1.0
-47.0,-102.0,2.0,-1.0,-22.0,-25.0
-47.0,-102.0,-58.0,-14.0,-11.0,5.0
-3.0,-40.0,-6.0,-2.0,-15.0,-1.0
-14.0,-16.0,-10.0,-58.0,-1.0,-28.0
-14.0,-16.0,12.0,-6.0,-28.0,-7.0
-14.0,-16.0,-18.0,-43.0,-51.0,7.0
-14.0,-16.0,-22.0,-11.0,-7.0,3.0
-14.0,5.0,2.0,7.0,-212.0,-40.0
-102.0,5.0,7.0,-28.0,6.0,20.0
-102.0,5.0,-75.0,11.0,-27.0,6.0
-102.0,-14.0,-55.0,2.0,-7.0,-19.0
-102.0,-14.0,-34.0,-22.0,21.0,11.0
-40.0,-14.0,0.0,5.0,-6.0,-11.0
-16.0,1.0,-7.0,7.0,-22.0,-24.0
-16.0,-19.0,9.0,-75.0,-46.0,-23.0
-16.0,-5.0,-27.0,-75.0,6.0,5.0
-16.0,9.0,16.0,38.0,-16.0,13.0
-16.0,-2.0,-16.0,9.0,-7.0,-1.0
5.0,9.0,18.0,3.0,-31.0,-41.0
5.0,21.0,18.0,0.0,-2.0,-2.0
5.0,1.0,-47.0,0.0,-19.0,-1.0
5.0,-7.0,32.0,21.0,-10.0,-32.0
-14.0,-7.0,3.0,18.0,9.0,3.0
-14.0,3.0,2.0,-3.0,9.0,-6.0
-14.0,3.0,-8.0,3.0,0.0,-13.0
-14.0,-1.0,-4.0,-62.0,3.0,1.0
-22.0,-38.0,-87.0,-9.0,-6.0,-16.0
1.0,-22.0,18.0,18.0,9.0,-7.0
1.0,-22.0,44.0,3.0,-15.0,5.0
1.0,-22.0,4.0,-8.0,18.0,5.0
-26.0,15.0,-2.0,-25.0,-3.0,-6.0
1.0,15.0,0.0,-7.0,-14.0,9.0
-19.0,15.0,9.0,-4.0,9.0,-20.0
-5.0,-37.0,-8.0,-5.0,-16.0,13.0
-5.0,-6.0,-2.0,-2.0,-1.0,-27.0
-5.0,3.0,12.0,16.0,-24.0,1.0
9.0,14.0,1.0,0.0,-4.0,-5.0
-2.0,-4.0,3.0,9.0,1.0,-16.0
-2.0,-22.0,3.0,5.0,-9.0,-15.0
9.0,-30.0,3.0,-1.0,6.0,2.0
21.0,-30.0,-54.0,-4.0,-3.0,3.0
1.0,-30.0,-32.0,-29.0,4.0,-13.0
-7.0,-5.0,-28.0,-8.0,9.0,7.0
-7.0,-5.0,8.0,-2.0,2.0,-7.0
3.0,-5.0,-7.0,12.0,40.0,-1.0
3.0,-5.0,-7.0,1.0,6.0,-55.0
3.0,-25.0,-2.0,3.0,10.0,-17.0
3.0,-25.0,-4.0,-1.0,7.0,12.0
