predictor,dataset,res,value,accuracy,sensitivity,specificity,precision,F1,MCC
parrot,PELM,S,mean,75.9,75.8,76.1,76.0,75.9,0.519
parrot,PELM,S,stderr,0.3,0.4,0.6,0.4,0.2,0.006
parrot,PPA,S,mean,69.9,62.5,77.3,73.4,67.5,0.402
phosfer,PELM,S,mean,71.4,84.3,58.6,67.0,74.7,0.443
phosfer,PELM,S,stderr,0.3,0.3,0.6,0.3,0.2,0.007
phosfer,PPA,S,mean,69.5,78.4,60.6,66.6,72,0.397
musitedeep,PELM,S,mean,60.1,98.35,21.9,55.7,71.1,0.314
musitedeep,PELM,S,stderr,0.2,0.07,0.2,0.3,0.2,0.003
musitedeep,PPA,S,mean,58.2,94.6,21.7,54.7,69.3,0.239
phosphoSVM,PELM,S,mean,,44.4,94,,,0.298
phosphoSVM,PPA,S,mean,,34,95.9,,,0.237
parrot,PELM,T,mean,72.9,72.0,73.7,73.3,72.6,0.46
parrot,PELM,T,stderr,0.6,1.1,1.4,1.0,0.7,0.01
parrot,PPA,T,mean,59.8,39.9,79.7,66.3,49.8,0.21
phosfer,PELM,T,mean,68.9,85.0,52.9,64.4,73.2,0.40
phosfer,PELM,T,stderr,0.5,0.5,0.6,0.6,0.5,0.01
phosfer,PPA,T,mean,61.7,61.8,61.6,61.7,61.7,0.23
musitedeep,PELM,T,mean,73.2,86.4,60.0,68.4,76.3,0.481
musitedeep,PELM,T,stderr,0.2,0.4,0.6,0.5,0.3,0.004
musitedeep,PPA,T,mean,59.7,56.4,63.1,60.4,58.3,0.195
phosphoSVM,PELM,T,mean,,37.3,95,,,0.251
phosphoSVM,PPA,T,mean,,21.8,93.4,,,0.116
parrot,PELM,Y,mean,63.0,65.2,61.0,62.7,63.7,0.26
parrot,PELM,Y,stderr,0.7,1.0,2.0,1.6,0.7,0.01
parrot,PPA,Y,mean,56.0,45.5,66.4,57.5,50.8,0.122
phosfer,PELM,Y,mean,65.0,74.0,56.1,62.8,67.9,0.31
phosfer,PELM,Y,stderr,0.8,0.7,1.2,1.0,0.7,0.01
phosfer,PPA,Y,mean,56.4,51.7,61.1,57.1,54.3,0.129
musitedeep,PELM,Y,mean,66.6,83.5,49.7,62.4,71.4,0.353
musitedeep,PELM,Y,stderr,0.5,0.6,0.9,0.9,0.6,0.007
musitedeep,PPA,Y,mean,54.5,57.4,51.6,54.2,55.8,0.090
phosphoSVM,PELM,Y,mean,,41.9,87.3,,,0.209
phosphoSVM,PPA,Y,mean,,28.6,84.4,,,0.084
