chr	avg	count	sample	time	cat	rep	group
pFMP233	0.6866228260869566	640.5358695652174	ASK454	240	FUS¹⁻¹⁶³12E	replicate 1	240 min, replicate 1
pFMP233	0.6825696739130435	532.3934782608695	ASK455	240	WT Abf1	replicate 2	240 min, replicate 2
pFMP233	0.6834518478260869	1071.208695652174	ASK458	240	FUS¹⁻¹⁶³12E	replicate 2	240 min, replicate 2
pFMP233	0.6930418478260869	889.116304347826	ASK459	240	WT Abf1	replicate 1	240 min, replicate 1
pFMP233	0.6850675	1150.9065217391305	ASK460	240	no Abf1	replicate 1	240 min, replicate 1
pFMP233	0.6808051086956521	1076.5532608695653	ASK461	240	no Abf1	replicate 2	240 min, replicate 2
pFMP233	0.8256522826086956	78.85652173913043	ASK468	240	Local Shuffle 12	replicate 1	240 min, replicate 1
pFMP233	0.7942797826086957	108.20108695652173	ASK469	240	Local Shuffle 12	replicate 2	240 min, replicate 2
pFMP233	0.7953541304347826	87.55978260869566	ASK470	240	altered aromatic patterning	replicate 1	240 min, replicate 1
pFMP233	0.8056303260869565	121.98152173913043	ASK471	240	altered aromatic patterning	replicate 2	240 min, replicate 2
pFMP233	0.5718985869565217	57.744565217391305	ASKFG1	240	Fus Gal4 motif	replicate 1	240 min, replicate 1
pFMP233	0.5502534782608696	877.3967391304348	ASKFG2	240	Fus Gal4 motif	replicate 2	240 min, replicate 2
pFMP233	0.629193152173913	72.85760869565217	ASKGS1	240	Gal4 shuffle	replicate 1	240 min, replicate 1
pFMP233	0.572171847826087	461.07173913043476	ASKGS2	240	Gal4 shuffle	replicate 2	240 min, replicate 2
