P32505, 2603
Q07807, 1860
P38144, 1763
P38934, 1312
P53849, 1164
Q12221, 1151
P38199, 1136
P12962, 986
P05750, 984
P39016, 905
P25567, 860
P25443, 856
Q01855, 856
P05756, 830
P48589, 828
P06367, 825
P32905, 825
P05743, 824
P38701, 808
P0CX39, 794
P35997, 794
P0C0W1, 787
P04456, 784
P33442, 784
P0CX37, 779
P26786, 774
P0CX55, 769
P07280, 766
P43588, 757
O13516, 755
Q08745, 754
P38011, 747
P61830, 736
P0C2H8, 724
P02407, 720
P02309, 666
Q06164, 625
Q03940, 582
P0CG63, 532
P10664, 532
P25339, 530
Q12034, 523
P40568, 517
P10591, 514
Q04217, 511
P14126, 509
P26784, 503
P26783, 494
Q12464, 484
P25586, 481
P05759, 480
P38764, 479
P32588, 474
P42945, 472
P49626, 471
P47123, 462
P26321, 462
P25808, 460
P0CX35, 459
P0CX47, 445
P05317, 444
P02406, 443
P0CX45, 441
P40693, 435
P0CX23, 431
P05740, 430
P0CX51, 429
Q12510, 422
P0CH08, 421
P05737, 418
P32324, 418
P04912, 418
P38886, 417
P17076, 416
P00546, 415
P41805, 412
P60010, 411
P0CX29, 403
P0CX31, 402
P02829, 401
P0CX41, 401
P23248, 399
P21771, 398
P02293, 397
P0CX53, 396
P53969, 395
P29453, 395
P0CX84, 395
P36012, 394
P14120, 394
P33759, 393
P31334, 393
P36520, 393
P46990, 393
P05755, 389
P05738, 388
P33297, 388
P0CX43, 386
P39516, 386
P0CX48, 384
P39935, 383
P39990, 380
P26785, 376
Q03246, 371
P0CX49, 371
P47150, 369
P53221, 369
P46654, 368
P0CX30, 367
P47069, 366
P53732, 363
P00549, 363
Q05022, 362
P51998, 361
Q12487, 360
P42847, 359
Q12213, 354
P05748, 353
P0CX82, 353
P49166, 353
P11484, 352
P53881, 347
Q3E7Y3, 346
Q3E7X9, 345
P0CX85, 344
P14127, 344
Q12690, 343
P49167, 342
P05744, 341
P39938, 341
P39939, 341
P0C0W9, 340
P38061, 340
P32897, 339
P87262, 339
P0CX42, 339
Q03201, 338
P32558, 338
P53937, 337
Q03799, 334
P0CX25, 334
P0C2H7, 333
P41057, 332
P27929, 331
P15108, 330
Q02753, 329
P38711, 329
P0C0X0, 329
P32611, 328
P33201, 328
P51401, 327
P48164, 327
P0C2H6, 327
P36160, 326
P40212, 325
P04147, 325
P32902, 324
P05745, 324
P15646, 324
Q02326, 322
P49334, 321
P16521, 321
P32899, 321
P40150, 320
Q12306, 320
P04650, 320
P36105, 320
P32904, 319
P16370, 319
P32495, 318
P53875, 318
P02294, 318
P40537, 315
P04449, 314
P05749, 313
P38064, 312
P05739, 312
P10663, 309
Q03330, 309
P35996, 306
P35208, 306
P38129, 305
P51402, 305
Q12000, 304
Q12499, 304
P07281, 303
Q3E757, 302
P41058, 302
P0CX83, 301
P0CX33, 301
P10592, 300
Q03532, 300
P0CX54, 300
P36519, 299
P24276, 299
P25294, 299
Q06512, 299
Q3E792, 299
P39015, 298
O14455, 297
P08518, 296
Q04264, 294
P04911, 294
Q3E754, 294
P39730, 292
P53131, 290
P04050, 288
Q08831, 287
P02994, 286
P41056, 286
P0C2H9, 283
P05747, 283
P38754, 282
P40992, 282
P22353, 281
Q12159, 280
P39940, 280
P53261, 278
P46655, 276
P0CX34, 275
P38779, 273
P38260, 269
P24000, 268
P33322, 267
P40525, 267
P27692, 266
P38333, 266
Q12460, 263
Q02892, 261
P54780, 261
P0C0T4, 261
Q05027, 260
P00359, 259
Q04660, 259
P36048, 259
P46784, 259
P32915, 258
P13393, 258
P16474, 257
Q03862, 256
P22147, 255
Q12672, 255
Q04697, 254
P56628, 254
Q03919, 254
P23301, 254
Q08422, 254
P36517, 253
P35732, 253
P00330, 253
P12687, 252
P25694, 252
P19454, 252
Q04599, 251
P36112, 249
P33892, 249
Q12522, 248
Q07915, 248
P0CX27, 248
P15790, 247
P39744, 246
P40457, 245
Q00684, 245
P52870, 244
P20435, 244
Q08199, 244
Q08649, 243
Q08920, 242
P35209, 242
P40078, 241
P06634, 240
P25626, 240
Q04935, 238
P20434, 237
P06105, 237
P07703, 236
Q03761, 236
