#RNA length, RMS 1-68, std RMS 1-68, <r> 1-68, std(<r>) 1-68
0, 5.791739424349557, 0.0019047535144011323, 5.482856481558971, 0.003125097403913519
10, 6.064241739035956, 0.021100766151555775, 5.7580153233506515, 0.022372038370945046
12, 6.092110659707444, 0.008090603003893325, 5.790474255447108, 0.006828948110582865
15, 6.105959366599386, 0.010913369636849518, 5.805948071425608, 0.011197354367605834
17, 6.123519672112167, 0.010281705405093614, 5.821961246000449, 0.010312631004162943
20, 6.139185709997117, 0.020549268919155074, 5.841722854339349, 0.021282766652824074
25, 6.147755607720952, 0.001890041245700606, 5.852092046287793, 0.002888146843388866
30, 6.158950249332666, 0.0021453915328805326, 5.86076390413826, 0.0005693066134868954
35, 6.145230686572983, 0.010677125637112768, 5.8475286281996945, 0.01179801896377483
40, 6.133591675366531, 0.013133842216385654, 5.837899227355343, 0.013935467630665811
