Cluster, Prot. count, NCPR, FCR, f_ali, f_aro, f_neg, f_pos, f_pol, f_pro
1, 27.0, -0.3369, 0.5406, 0.1667, 0.0204, 0.4387, 0.1018, 0.2251, 0.0445
2, 44.0, -0.0501, 0.4216, 0.207, 0.0204, 0.2358, 0.1858, 0.2759, 0.0677
3, 22.0, -0.1517, 0.3784, 0.2105, 0.0185, 0.265, 0.1133, 0.3096, 0.0785
4, 155.0, -0.1078, 0.3033, 0.2202, 0.0288, 0.2056, 0.0977, 0.3458, 0.0903
5, 90.0, -0.1909, 0.3376, 0.2234, 0.0322, 0.2642, 0.0734, 0.3159, 0.082
6, 6.0, 0.3593, 0.3815, 0.3022, 0.0096, 0.0111, 0.3704, 0.2015, 0.1052
7, 81.0, 0.1187, 0.3288, 0.2002, 0.0251, 0.105, 0.2238, 0.3434, 0.0931
8, 156.0, -0.0363, 0.2398, 0.2479, 0.034, 0.138, 0.1017, 0.3649, 0.0983
9, 269.0, 0.0098, 0.2481, 0.2371, 0.0335, 0.1192, 0.129, 0.3586, 0.1087
10, 167.0, -0.0093, 0.2791, 0.2261, 0.0268, 0.1442, 0.1349, 0.3408, 0.1143
11, 39.0, 0.0458, 0.3199, 0.2243, 0.0197, 0.137, 0.1828, 0.3228, 0.1084
12, 168.0, -0.1261, 0.2729, 0.2386, 0.0378, 0.1995, 0.0734, 0.3416, 0.0959
13, 181.0, -0.1012, 0.2583, 0.2304, 0.054, 0.1797, 0.0786, 0.3489, 0.0966
14, 135.0, 0.0902, 0.2596, 0.2056, 0.0437, 0.0847, 0.1749, 0.358, 0.0988
15, 285.0, 0.0387, 0.2315, 0.2352, 0.0397, 0.0964, 0.1351, 0.3633, 0.1108
16, 355.0, -0.0383, 0.2267, 0.2478, 0.0475, 0.1325, 0.0942, 0.3609, 0.1021
17, 222.0, -0.0608, 0.2285, 0.2403, 0.0626, 0.1446, 0.0838, 0.3582, 0.0933
18, 237.0, 0.0048, 0.1983, 0.2552, 0.0514, 0.0968, 0.1015, 0.3661, 0.1098
19, 232.0, 0.0047, 0.1837, 0.2565, 0.066, 0.0895, 0.0942, 0.3634, 0.105
20, 231.0, 0.0687, 0.2153, 0.2547, 0.0554, 0.0733, 0.142, 0.3507, 0.1016
21, 114.0, 0.0148, 0.1829, 0.2722, 0.0808, 0.0841, 0.0988, 0.3483, 0.0913
22, 58.0, 0.0665, 0.1595, 0.2188, 0.1007, 0.0465, 0.113, 0.417, 0.0648
23, 103.0, 0.1111, 0.2322, 0.2321, 0.0595, 0.0606, 0.1717, 0.3458, 0.0907
24, 36.0, 0.1522, 0.2688, 0.1474, 0.107, 0.0583, 0.2105, 0.4137, 0.0479
