"family,""mean_AFPP"",""sd_AFPP"",""spp"""
"Abditibacteriaceae,0.12748,NA,""Abditibacterium utsteinense"""
"Abyssicoccaceae,0.05926,NA,""Abyssicoccus albus"""
"Acanthasteridae,0.29852,NA,""Acanthaster planci"""
"Acanthisittidae,0.2486,NA,""Acanthisitta chloris"""
"Acanthizidae,0.23923,0.00151320851173921,""Origma solitaria"""
"Acanthopleuribacteraceae,0.085505,0.000233345237791559,""Sulfidibacter corallicola"""
"Acaulosporaceae,0.3061,NA,""Acaulospora morrowiae"""
"Accipitridae,0.256494,0.0337820666922555,""Haliaeetus albicilla"""
"Acetobacteraceae,0.107383783783784,0.0178283321312664,""Acetobacteraceae bacterium AT-5844"""
"Acholeplasmataceae,0.0806285714285714,0.0428856190450729,""Candidatus Phytoplasma australiense"""
"Acidaminococcaceae,0.056765,0.015506851711421,""Phascolarctobacterium sp. CAG:266"""
"Acidiferrobacteraceae,0.0924033333333333,0.00870196146471204,""Sulfurifustis variabilis"""
"Acidilobaceae,0.04656,0.00247487373415291,""Acidilobus sp. SCGC AC-742_E15"""
"Acidimicrobiaceae,0.14035,NA,""Acidithrix ferrooxidans"""
"Acidithiobacillaceae,0.0796966666666667,0.000893103204189376,""Acidithiobacillus marinus"""
"Acidobacteriaceae,0.113391666666667,0.0263725907890661,""Terriglobus roseus"""
"Acipenseridae,0.33219,NA,""Acipenser ruthenus"""
"Acrospermaceae,0.31914,NA,""Pseudovirgaria hyperparasitica"""
"Actinidiaceae,0.34985,NA,""Actinidia rufa"""
"Actiniidae,0.26161,NA,""Actinia tenebrosa"""
"Actinomycetaceae,0.113145294117647,0.0278633619798467,""Actinomyces sp. S6-Spd3"""
"Actinopolymorphaceae,0.13686,0.00957422581726585,""Actinopolymorpha singaporensis"""
"Actinopolysporaceae,0.160905,0.00886004796826745,""Actinopolyspora mzabensis"""
"Actinospicaceae,0.126513333333333,0.00799158515773518,""Actinospica durhamensis"""
"Acutalibacteraceae,0.07126375,0.00994481191016559,""Anaeromassilibacillus sp. An200"""
"Adinetidae,0.247665,0.00294863527754791,""Adineta ricciae"""
"Adrianichthyidae,0.3226675,0.0594363516012437,""Oryzias latipes"""
"Aegithalidae,0.23495,NA,""Aegithalos caudatus"""
"Aegothelidae,0.23502,NA,""Aegotheles bennettii"""
"Aerococcaceae,0.0563026666666667,0.0079822924264244,""Aerococcus sp. Group 1"""
"Aeromonadaceae,0.056808,0.00401384105315594,""Oceanimonas sp. GK1"""
"Aestuariirhabdaceae,0.06768,NA,""Aestuariirhabdus litorea"""
"Aestuariivirgaceae,0.07689,NA,""Aestuariivirga litoralis"""
"Afifellaceae,0.10602,NA,""Faunimonas pinastri"""
"Agamidae,0.325605,0.0139087903859394,""Pogona vitticeps"""
"Agaricaceae,0.276555,0.0245436763749851,""Leucoagaricus sp. SymC.cos"""
"Ahrensiaceae,0.091362,0.0287913940266879,""Ahrensia sp. R2A130"""
"Aiptasiidae,0.24816,NA,""Exaiptasia diaphana"""
"Ajellomycetaceae,0.364875,0.0408287111864048,""Histoplasma mississippiense (nom. inval.)"""
"Akkermansiaceae,0.10758,0.0103803275478185,""Akkermansia glycaniphila"""
"Alaudidae,0.24226,NA,""Alaudala cheleensis"""
"Albuginaceae,0.27162,NA,""Albugo candida"""
"Albulidae,0.36664,0.0455376767084136,""Albula glossodonta"""
"Alcaligenaceae,0.074578085106383,0.0123449809618776,""Alcaligenes sp. EGD-AK7"""
"Alcanivoracaceae,0.0646,0.00480563211242809,""Marinicella litoralis"""
"Alcedinidae,0.24624,0.00275771644662753,""Ceyx cyanopectus"""
"Alcidae,0.238225,0.00869034234078267,""Alca torda"""
"Aleyrodidae,0.31311,NA,""Bemisia tabaci"""
"Alicyclobacillaceae,0.07427,0.0105041947176672,""Tumebacillus flagellatus"""
"Alligatoridae,0.3431,0.0368119790285717,""Alligator mississippiensis"""
"Alsobacteraceae,0.11534,0.00282842712474619,""Alsobacter soli"""
"Alteromonadaceae,0.0661513888888889,0.0101236481715628,""Catenovulum maritimum"""
"Ambassidae,0.34177,NA,""Parambassis ranga"""
"Ambisporaceae,0.302715,0.00275064537881567,""Ambispora leptoticha"""
"Amborellaceae,0.35185,NA,""Amborella trichopoda"""
"Aminithiophilaceae,0.0607,NA,""Aminithiophilus ramosus"""
"Aminobacteriaceae,0.0670066666666667,0.0142294635644965,""Fretibacterium fastidiosum"""
"Amoebophilaceae,0.124056666666667,0.0067179262673338,""Candidatus Cardinium hertigii"""
"Amoebophryaceae,0.547085,0.0029203510063005,""Amoebophrya sp. A120"""
"Amorphaceae,0.075635,0.00929845417260311,""Acuticoccus sediminis"""
"Amphiacanthidae,0.18303,NA,""Amphiamblys sp. WSBS2006"""
"Ampullariidae,0.36563,NA,""Pomacea canaliculata"""
"Anabantidae,0.22874,NA,""Anabas testudineus"""
"Anaeramoebidae,0.23529,NA,""Anaeramoeba ignava"""
"Anaerohalosphaeraceae,0.09346,NA,""Anaerohalosphaera lusitana"""
"Anaerolineaceae,0.059547,0.00941276562263539,""Ornatilinea apprima"""
"Anaeromyxobacteraceae,0.12733,0.00381837661840736,""Anaeromyxobacter sp. Fw109-5"""
"Anaeroplasmataceae,0.03563,NA,""Anaeroplasma bactoclasticum"""
"Anaerotignaceae,0.05883,NA,""Anaerotignum neopropionicum"""
"Anaerovoracaceae,0.0504883333333333,0.0118649709930816,""Mogibacterium sp. CM50"""
"Anaplasmataceae,0.102687142857143,0.0333795140339529,""Wolbachia endosymbiont of Onchocerca ochengi"""
"Anatidae,0.307003333333333,0.0355766725069485,""Anas platyrhynchos"""
"Ancalomicrobiaceae,0.09011,NA,""Siculibacillus lacustris"""
"Ancylostomatidae,0.2986875,0.0378715314143311,""Ancylostoma ceylanicum"""
"Andaluciidae,0.23603,NA,""Andalucia godoyi"""
"Anguillidae,0.36835,NA,""Anguilla anguilla"""
"Anguinidae,0.33316,NA,""Ditylenchus dipsaci"""
"Anhimidae,0.23147,NA,""Chauna torquata"""
"Anhingidae,0.231455,0.00178898015640197,""Anhinga rufa"""
"Anisakidae,0.33896,NA,""Anisakis simplex"""
"Anseranatidae,0.23622,NA,""Anseranas semipalmata"""
"Anthracoideaceae,0.44065,NA,""Testicularia cyperi"""
"Antricoccaceae,0.09375,NA,""Antricoccus suffuscus"""
"Aotidae,0.31915,NA,""Aotus nancymaae"""
"Aphelenchoididae,0.293895,0.0124238661454477,""Bursaphelenchus okinawaensis"""
"Aphididae,0.284231666666667,0.0209394387858573,""Acyrthosiphon pisum"""
"Apiaceae,0.2953,NA,""Apium graveolens"""
"Apidae,0.35358875,0.0477183724538344,""Apis mellifera"""
"Apiosporaceae,0.26097,NA,""Neoarthrinium moseri"""
"Apodidae,0.247705,0.0154078567620549,""Chaetura pelagica"""
"Apogonidae,0.22475,NA,""Sphaeramia orbicularis"""
"Apterygidae,0.28761,NA,""Apteryx owenii"""
