proteome_id	per_protein	total_proteome
UP000029777	0.18243	0.16671
UP000201090	0.2035	0.10742
UP000217296	0.13149	0.08524
UP000001134	0.15157	0.15355
UP000201640	0.12073	0.12725
UP000165262	0.44361	0.3549
UP000201390	0.69875	0.64463
UP000144169	0.38998	0.18486
UP001162015	0.07563	0.05795
UP000234934	0.15134	0.14234
UP000290995	0.14765	0.12947
UP000677280	0.17622	0.11302
UP000146330	0.18018	0.13181
UP000165652	0.25528	0.22122
UP000203595	0.04828	0.0796
UP000289553	0.44602	0.1967
UP000792575	0.11871	0.08386
UP000232720	0.15282	0.12535
UP000202129	0.15249	0.09883
UP000007663	0.10133	0.0486
UP000248626	0.00441	0.00726
UP000204099	0.40933	0.33594
UP000127353	0.174	0.18457
UP000143088	0.29043	0.19927
UP000501937	0.03272	0.03272
UP001161664	0.11807	0.07917
UP000208105	0.0	0.0
UP000204653	0.0	0.0
UP000204644	0.14248	0.11786
UP000201498	0.35559	0.40607
UP000137347	0.16003	0.15952
UP000297067	0.05835	0.16702
UP000158189	0.03545	0.04273
UP000269999	0.125	0.12281
UP000267343	0.13166	0.13419
UP000282037	0.08548	0.08548
UP000009060	0.67819	0.5151
UP000156919	0.1697	0.09119
UP000201349	0.00231	0.00841
UP000503586	0.29146	0.13023
UP000201462	0.24392	0.16201
UP000242203	0.13299	0.07182
UP000242751	0.12821	0.06873
UP000117716	0.18058	0.1085
UP000169135	0.13786	0.12896
UP000243108	0.09777	0.10653
UP000174145	0.13159	0.10081
UP000683295	0.08909	0.13272
UP000008477	0.16674	0.20019
UP000156881	0.2528	0.2277
UP000203175	0.03347	0.03347
UP000289197	0.10631	0.1028
UP000243831	0.24529	0.20555
UP000243493	0.06746	0.06044
UP000111791	0.14928	0.14928
UP000682344	0.10948	0.11592
UP000135812	0.25085	0.22293
UP000677600	0.07914	0.03869
UP000297006	0.19	0.21477
UP000204344	0.29574	0.12168
UP000102219	0.52797	0.325
UP000136187	0.01415	0.01878
UP001156910	0.03244	0.05204
UP000241080	0.18566	0.11391
UP000290847	0.11911	0.06328
UP001161628	0.10858	0.06778
UP000297152	0.32293	0.16591
UP000243103	0.00662	0.01036
UP000113968	0.26637	0.23572
UP001156888	0.03314	0.03155
UP001156885	0.08242	0.07163
UP000203171	0.03153	0.04882
UP000289334	0.34962	0.21071
UP000290906	0.25345	0.26047
UP000290611	0.28812	0.26574
UP000289977	0.21543	0.2451
UP000290721	0.10875	0.09677
UP000289689	0.45155	0.30858
UP000289339	0.30548	0.2842
UP000289229	0.35612	0.27818
UP000290794	0.24899	0.18939
UP000290411	0.48239	0.27522
UP000290105	0.37831	0.25894
UP000290761	0.21203	0.1695
UP000289395	0.2663	0.20078
UP000289442	0.46644	0.3164
UP000290443	0.28987	0.16942
UP000290048	0.20783	0.1464
UP000290544	0.20064	0.17494
UP000289571	0.17035	0.18014
UP000290341	0.23181	0.22948
UP000289887	0.25214	0.17695
UP000289559	0.34572	0.2748
UP000289720	0.14011	0.11679
UP000289659	0.14357	0.10251
UP000290151	0.11644	0.0776
UP000289677	0.48441	0.2811
UP000289893	0.42053	0.29377
UP000289124	0.67468	0.43382
UP000290016	0.65496	0.44643
UP000290808	0.44716	0.29756
UP000290704	0.45968	0.2855
UP000289232	0.52537	0.32398
UP000289879	0.54903	0.37491
UP000289592	0.56087	0.35704
UP000290485	0.53334	0.39466
UP000289803	0.5984	0.41898
UP000290804	0.50546	0.35233
UP000289215	0.57559	0.39732
UP000290415	0.62366	0.48439
UP000290644	0.25245	0.16872
UP000290230	0.4287	0.325
UP000289640	0.62969	0.43575
UP000290036	0.56452	0.41722
UP000290899	0.56127	0.39609
UP000289205	0.55987	0.37954
UP000290555	0.32568	0.20188
UP000289241	0.29124	0.26044
UP000289578	0.17394	0.13099
UP000290161	0.40093	0.25493
UP000290041	0.16017	0.12048
UP000290487	0.30966	0.16654
UP000289505	0.4237	0.31764
UP000290901	0.29956	0.28351
UP000290996	0.1178	0.11259
UP000290400	0.27269	0.22115
