proteome_id	per_protein	total_proteome
UP000247279	0.13201	0.08583
UP000001049	0.27895	0.19724
UP000031726	0.10493	0.08305
UP000018885	0.16144	0.14534
UP000031724	0.07625	0.0986
UP000031727	0.12172	0.1061
UP000516893	0.10107	0.1134
UP000320799	0.10662	0.09398
UP000201646	0.13425	0.07399
UP000203117	0.10997	0.1067
UP000595170	0.15837	0.10782
UP000317048	0.13583	0.1138
UP000318967	0.14156	0.11452
UP000319935	0.13313	0.09485
UP000320263	0.08577	0.08334
UP000316783	0.10367	0.07707
UP000001216	0.0869	0.05704
UP001144706	0.14278	0.10708
UP000224101	0.10547	0.0734
UP000000330	0.05607	0.04751
UP000509616	0.06155	0.06702
UP000007045	0.09778	0.08872
UP000226117	0.0908	0.13003
UP000516365	0.06433	0.10142
UP000464110	0.04529	0.06304
UP000258869	0.12767	0.08402
UP000289512	0.08889	0.08865
UP000287416	0.05837	0.04056
UP000008732	0.07086	0.0468
UP000008730	0.0941	0.05671
UP000008731	0.05556	0.03944
UP001163359	0.12647	0.06281
UP000298668	0.10144	0.15604
UP000224551	0.0969	0.06741
UP000001046	0.04919	0.04961
UP000002880	0.05684	0.06168
UP001055455	0.04514	0.0658
UP000516232	0.11742	0.05155
UP000337614	0.05299	0.04422
UP001057359	0.04245	0.05581
UP000323516	0.06962	0.05015
UP000505279	0.15154	0.15297
UP000201630	0.13712	0.0659
UP000019304	0.08716	0.05903
UP000271981	0.06306	0.05811
UP001164555	0.09119	0.11003
UP001164590	0.09425	0.05603
UP000017654	0.0652	0.0472
UP001176980	0.03492	0.03285
UP000008060	0.07981	0.07407
UP000595980	0.14852	0.06837
UP000017656	0.09648	0.08001
UP001057386	0.04721	0.06971
UP000241732	0.12152	0.08674
UP000255813	0.09108	0.05504
UP000676168	0.08101	0.05298
UP000028861	0.12148	0.07851
UP000269940	0.05752	0.05503
UP000246928	0.0568	0.05149
UP001164838	0.0772	0.07252
UP000274759	0.05595	0.07035
UP000275851	0.07162	0.06886
UP000464711	0.06018	0.03723
UP000225947	0.09912	0.06476
UP000203186	0.08571	0.0632
UP000028860	0.1443	0.06769
UP000509614	0.11264	0.065
UP001056945	0.08294	0.0699
UP000201228	0.08655	0.06909
UP000326537	0.11459	0.11797
UP001056542	0.11183	0.14573
UP000222907	0.06317	0.12209
UP000030202	0.09603	0.06687
UP000204195	0.07672	0.04704
UP000241342	0.22984	0.15479
UP000001245	0.26728	0.18525
UP000224836	0.10433	0.0805
UP000276663	0.09272	0.09648
UP000246930	0.11461	0.12395
UP000323400	0.1074	0.06501
UP000225026	0.11212	0.08226
UP000222808	0.07713	0.0703
UP000001758	0.06178	0.04179
UP000323739	0.05579	0.0428
UP000325103	0.08825	0.056
UP000324237	0.11123	0.09473
UP000323023	0.14362	0.13736
UP000316563	0.06811	0.04041
UP000326590	0.06401	0.05539
UP000222556	0.09704	0.06812
UP000246313	0.10366	0.07019
UP000008727	0.0692	0.03808
UP000246770	0.07139	0.05751
UP001164424	0.11234	0.11147
UP001060037	0.18644	0.08737
UP000240934	0.06675	0.04671
UP000595574	0.078	0.04848
UP000241188	0.10265	0.07466
UP000244741	0.10542	0.05784
UP000502304	0.11689	0.0906
UP001163735	0.13691	0.12852
UP000289392	0.05328	0.03587
UP000253189	0.15385	0.14778
UP000662926	0.12481	0.05676
UP000593732	0.10976	0.09013
UP000682862	0.12362	0.06927
UP000009016	0.06209	0.04078
UP000230617	0.16387	0.09975
UP000315352	0.04527	0.05425
UP000595699	0.13077	0.06471
UP001060072	0.16887	0.07841
UP000318684	0.19946	0.13007
UP000318298	0.19881	0.1155
UP000028666	0.09342	0.07497
UP000693898	0.16252	0.06048
UP000221506	0.07091	0.05329
UP000226249	0.13647	0.08323
