2000	27780610
4000	56381180
6000	84901754
8000	113522323
10000	141262936
12000	169123543
14000	196724163
16000	224904754
18000	252005399
20000	279646017
22000	307086645
24000	334787260
26000	362547872
28000	390848457
30000	419209039
32000	446729663
34000	475050247
36000	503630818
38000	531551422
40000	559352032
42000	586692665
44000	615133243
46000	643413829
48000	671814409
50000	699655017
52000	727235638
54000	755416229
56000	783396830
58000	811137443
60000	839078046
62000	866438678
64000	893859307
66000	921839908
68000	949700515
70000	978401080
72000	1006481676
