Control	1.05	0.885
ASCL4	1.1435	1.0503
ATF6	1.4933	1.3530
ATMIN	0.8568	1.0855
ATXN7L3	0.7291	0.9582
BBX	1.1715	1.3409
BRD8	1.7096	1.0811
C3orf62	1.3430	0.8480
CCDC101/SGF29	1.6042	1.1045
CCNC	1.0175	1.1610
CDK9	1.0006	1.6327
CEBPB	1.6659	1.0911
CEP72	0.9176	0.7459
CITED1	1.1970	1.0951
CITED2	1.6705	1.5110
CREBBP	3.0374	1.5197
CSRNP2	1.7627	1.0070
DCAF7	1.7562	1.1409
DDIT3	1.7102	1.2399
DDX1	0.9263	1.2054
DGKG	0.9926	1.0353
DMAP1	0.8617	1.0752
EAF1	1.1380	1.1923
ELF4	1.5931	0.9378
ELL2	1.0828	1.3745
ELL3	0.9111	1.5662
EP300	3.0260	1.2143
FAM90A1	1.7280	0.9815
FAM9A	1.6000	0.9196
FERD3L	1.3354	1.6009
FOS	1.5024	1.4601
FOXJ1	1.1799	0.8913
FOXN1	1.5980	1.1232
FOXO1	1.3195	0.9998
FOXR2	0.8261	1.2564
GADD45B	1.5004	0.8684
GADD45G	1.0648	1.0914
GATA1	1.7931	1.6333
GORASP1	0.8791	0.6770
GTF2E2	1.0511	1.4673
GTF2H3	1.0870	1.5466
GZMH	0.7773	0.7769
HOXA13	1.5044	1.1705
HOXB2	1.1894	1.2094
HSF1	1.7137	1.2140
ID3	1.1698	1.4888
JAZF1	2.0839	0.8157
KDELC2/POGLUT3	1.5377	0.9126
KLF15	1.4791	1.2138
KLF6	1.7819	1.1999
KLF7	1.7315	1.6006
LHX3	1.0081	1.6358
MAFB	0.6429	0.8641
MBD3L2	1.1270	1.2564
MEAF6	1.1129	1.3092
MED10	0.9691	1.5412
MED11	0.8088	1.1430
MED20	0.9343	1.1377
MED21	0.9859	1.2280
MED22	1.0430	1.6170
MED25	1.1204	1.1161
MED29	1.0545	1.2054
MED31	0.8878	1.3463
MED4	0.8348	1.4466
MYCBP	1.1200	1.1777
MYCL	1.0604	1.3216
MYOD1	1.6000	1.2869
MYOG	1.6440	1.1035
NEUROD1	1.0968	1.0402
NEUROG1	1.0219	1.1390
NFKBIB	0.9232	1.2869
PLAUR	1.3864	0.8749
RCN1	2.3171	1.2629
RELB	1.3125	1.1666
ROPN1	1.2047	0.7844
SDCCAG3/ENTR1	1.1833	0.8618
SERTAD2	1.2468	1.0000
SLC16A12	1.1327	1.0226
SLC35G1	1.0149	1.0700
SMPD2	1.0285	1.1386
SOX7	1.7135	0.9400
SPDYE7P	0.9527	1.3207
TADA3	1.0240	1.0508
TCF21	1.6996	1.1505
VP64	2.4334	1.6216
WIPI2	1.0542	1.0677
YAF2	1.8668	0.9420
ZIM3	0.6568	0.8143
ZNF257	0.5833	1.0278
ZNF436	0.5278	0.5826
ZNF675	0.4167	1.0452
ZXDC	1.0620	1.3755
