sample	time	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	cat
ASK454	180	-1.0398807497836096	-0.36486057845656267	0.048232603150605444	-0.12149107239723128	0.32788907329174116	-0.2206350799672182	0.6044443235563012	-0.5156272329391326	0.556231801077645	0.2427445632444184	-0.9321171970868585	-0.26309215014906157	0.43908847149077	0.48225307206304424	0.27024734911166304	-0.40694585218097273	-0.1369446658734034	-0.24081916748736493	0.05788143611633915	0.011538014681831922	0.04593058513510398	0.09232563004635717	-0.06421275567508881	-0.021217933782512077	-0.021546663970719478	-0.0025364469889529655	0.02982705903850142	3.034369010275231e-15	mutant
ASK454	240	-0.9756612546972241	-0.37851713552909017	0.07528200445351546	-0.07259038838184284	0.09109691821110122	-0.26304084610831274	0.18961253348560175	-0.10616585443523008	0.099499170251865	-0.3188617125940865	-0.06981599706610137	0.25937170274446475	-0.40320242950050744	0.024499444924078847	0.12717798194165142	0.1769500632861649	0.9629636346998502	0.059088232099860395	0.39585345125740307	-0.2684128337156771	-0.06209612432081537	0.3613790726046615	-0.08301804346941848	0.016869814072280984	0.15132325083638654	-0.02847982404400037	-0.12326654831908965	3.08366449274752e-15	mutant
ASK455	180	-1.0272628129924657	-1.10924223539374	0.4607809193701507	-0.26534430457126273	0.23390619716260355	0.16537747241805484	0.387054649079226	0.251178976768238	0.13307392098959964	-0.25555293671507207	0.3036595314447599	-0.15540297930115407	-0.10675443767393265	0.30737338347333876	-0.9733651164047736	-0.2031775360164948	-0.014683575884816412	0.22065699007322087	-0.3456914622553889	0.17800213676796792	-0.004711249935280018	0.1529118173705646	0.09316111158918282	-0.15765417801985865	0.11053356398767361	0.0417401127029784	0.05740636673819329	3.1246869712777958e-15	positive
ASK455	240	-0.895095747893294	-0.9617237243881579	0.3051596672797032	0.020125622824899405	0.12306292789607738	0.13912204898090477	-0.12673818238288592	0.35671551538469465	2.9270374678906783e-5	-0.06085725122030764	0.8053810305871358	0.016966822347939173	0.379752269389652	0.6052168572241959	0.8358838313298601	0.34189491043095593	-0.1526176160691406	0.03286890076534544	0.045311681134964046	0.08617337335495895	0.07205616317497789	-0.018182222323146813	0.07432243026659954	-0.03881668764144177	0.03560002832606098	-0.023902225098986762	-0.009063602552166934	2.9931586075046746e-15	positive
ASK458	180	-1.0801744676387748	-0.2939823100085851	0.2842590400986839	0.21988248597440568	0.07456342444391127	-0.035397069272408765	0.1692516371658989	-0.24824257631023533	0.11477143137707749	-0.2315474401987213	-0.44447984272802027	-0.1099489130683355	-0.8129311410881997	-0.32906885152834653	0.15718526554928097	0.785770165209569	-0.5693818148975363	0.06259341426325005	-0.03058629690991804	0.1636173007646592	0.14678214427795325	0.1399832217275259	0.13552348802960149	0.05314858625124968	0.0040389103088132325	-0.03252884584149669	0.04013877102790183	3.093475403374191e-15	mutant
ASK458	240	-1.0390214655550583	-0.3039563371005077	0.06787956385475588	0.2456835656108891	-0.02060043951313536	-0.13812087760872538	-0.0811287606828519	-0.2314949402587953	0.002486488768436917	-0.07345433293430936	-0.1667817455960114	0.17706173714507883	-0.3513740842666509	-0.04117963434397493	0.26066411637892806	-0.1046558202534261	0.39143542796593195	-0.04149460977206156	-0.585432019347201	0.027809016580683226	-0.2253598231880861	-0.7726715330769535	0.08960996987623622	-0.16838860889248117	-0.11364417331108458	0.09629700497728418	-0.05455546048656165	3.1218197994651672e-15	mutant
ASK459	180	-0.7888912655018594	-0.8552294386493408	0.24397424063623607	0.40200271156973433	0.15442545432952387	0.30101129515393604	-0.17055693621394416	-0.18725007577739514	0.22954164031432753	-0.11869800883571131	0.134236899988955	-0.15240272572547958	0.5447686980177265	-1.125160230848649	0.18518694882295864	-0.3766304909018717	-0.01038186545197786	0.2904523295744301	0.09898290245571338	0.015088827069007538	-0.024701722093259007	0.0678051665696819	-0.019545032435839455	0.016452345110456495	-0.01116056028982088	0.046919175500592644	0.015083240195336136	3.0360707940071163e-15	positive
ASK459	240	-0.689381281986293	-0.9138598343265462	0.3153724519247765	0.8426569974832275	-0.5084867714337103	0.1331420700974811	-0.8141681124829144	0.17232910403281196	-0.7010574830572783	0.681615910521437	-0.49977935746452457	0.29405416038914534	-0.025658405315407057	0.2470337742032307	-0.28540722640583543	-0.08536172674271739	-0.05254294909478905	0.026624025167639415	0.2496009348790344	-0.04684711348059861	0.048846300992409136	0.006463663742339581	-0.054294521718486206	0.06220604884054711	-0.054838332097931757	-0.06716969961638579	-0.010429397821584124	3.2335673922184424e-15	positive
ASK460	180	-2.497795970856123	0.7020186616855956	-0.17455846518103812	-0.14670014208679946	-0.10265883810568315	0.07437738245591094	0.13364047021221223	0.2061371268980707	0.0968893102199094	-0.05145979571297998	0.11800126982068235	-0.06442496442294521	0.1262593109890131	-0.059876948237769706	-0.2741828010970688	0.21312932618234254	-0.08402863812573176	0.008163004071883573	0.3965408213490632	-0.08497989442777554	0.44876253320360443	-0.3958342790478558	-0.5334348386736684	-0.38065341359171345	-0.01960814077165133	0.16227204123691064	-0.013411154043456476	2.7911240656495602e-15	negative
ASK460	240	-2.3555007245519426	0.8338218889024019	-0.25541947892479466	-0.032019781015221606	-0.11123260131479593	0.06718292301638777	-0.16695655485307676	0.06784083989513903	-0.07544940640252797	0.09695762339159698	0.09529561194395733	0.1492713071036313	-0.026381890098466993	0.04136349601067196	0.08411761732858321	-0.028388152700163947	-0.18714436918727176	0.009210454774784714	-0.14650942491338043	0.2265036164548969	-0.8149140015592337	0.2921961229838104	-0.40376401668788026	0.07713002303536208	0.12323362255181451	0.17299813529622715	0.1113849964678673	3.0140381102397395e-15	negative
ASK461	180	-2.408537982515502	0.6865332365189296	-0.26074938193947345	-0.16065240061193364	-0.10137877691842868	0.017893227832300792	0.03409154986716705	0.031892748564465355	-0.02623375736329662	-0.1294783495111003	0.11912584818325432	-0.17334505494593072	0.09396110738500771	0.06756709709510383	-0.20065171487816025	-0.11028718751186231	-0.21938996589634172	0.06341369859688673	0.35220248528482373	-0.4583657231227479	-0.27767711284257063	-0.17725140445650645	0.7203319713847832	0.13142363169714796	-0.06506042018542478	-0.12870329312972353	-0.12048650025597948	2.8952832630456916e-15	negative
