### DATA:
#
# 1249
#      Q             I(Q)           Error     
4.60056169E-03  6.26716584E-05  4.22397955E-06
4.88809666E-03  6.86895778E-05  3.09732543E-06
5.17563161E-03  6.15678539E-05  3.38182464E-06
5.46316653E-03  5.31455055E-05  4.73073457E-06
5.75070142E-03  5.16725746E-05  6.37534858E-06
6.03823629E-03  4.44636225E-05  6.31299801E-06
6.32577112E-03  4.15203441E-05  5.48741730E-06
6.61330592E-03  4.50068360E-05  5.52232468E-06
6.90084069E-03  4.34299700E-05  5.18187323E-06
7.18837542E-03  4.72476433E-05  5.40700564E-06
7.47591012E-03  4.54936921E-05  4.80475721E-06
7.76344478E-03  4.64403674E-05  4.84237262E-06
8.05097940E-03  4.54191587E-05  4.76583328E-06
8.33851398E-03  4.84719382E-05  4.59030388E-06
8.62604852E-03  4.77034121E-05  4.27211863E-06
8.91358301E-03  4.99418428E-05  3.97935016E-06
9.20111746E-03  4.93361907E-05  3.94270021E-06
9.48865187E-03  5.28125200E-05  3.34926013E-06
9.77618622E-03  5.04345102E-05  3.28801545E-06
1.00637205E-02  5.34315279E-05  3.38507250E-06
1.03512548E-02  5.49825799E-05  3.23610873E-06
1.06387890E-02  5.38602463E-05  2.98107298E-06
1.09263231E-02  5.64902748E-05  2.79407017E-06
1.12138572E-02  5.82413852E-05  2.95336240E-06
1.15013913E-02  6.19469389E-05  3.00272200E-06
1.17889253E-02  5.97846580E-05  2.55561148E-06
1.20764592E-02  5.80577381E-05  2.28252820E-06
1.23639930E-02  5.73643662E-05  1.91259799E-06
1.26515268E-02  5.99359589E-05  1.75831374E-06
1.29390606E-02  5.85975824E-05  1.51957775E-06
1.32265942E-02  5.92602326E-05  1.40404215E-06
1.35141278E-02  5.82228760E-05  1.29581624E-06
1.38016614E-02  5.75219455E-05  1.28433874E-06
1.40891949E-02  5.80168574E-05  1.19476308E-06
1.43767282E-02  5.80667705E-05  1.17636062E-06
1.46642616E-02  5.69981206E-05  1.09537790E-06
1.49517948E-02  5.61468399E-05  1.15488337E-06
1.52393280E-02  5.67936419E-05  1.10295926E-06
1.55268611E-02  5.64040647E-05  1.12320273E-06
1.58143941E-02  5.51986754E-05  1.13864495E-06
1.61019271E-02  5.57661816E-05  1.13323150E-06
1.63894599E-02  5.54480951E-05  1.04498407E-06
1.66769927E-02  5.79534385E-05  1.00397777E-06
1.69645254E-02  5.74153994E-05  1.00035807E-06
1.72520580E-02  5.73997585E-05  9.81257896E-07
1.75395905E-02  5.54468870E-05  9.51586367E-07
1.78271229E-02  5.63432034E-05  9.53314283E-07
1.81146553E-02  5.67809010E-05  9.35666870E-07
1.84021875E-02  5.55358259E-05  9.38879065E-07
1.86897197E-02  5.64215896E-05  8.89569685E-07
1.89772518E-02  5.59331898E-05  8.72639801E-07
1.92647837E-02  5.55481006E-05  8.76458288E-07
1.95523156E-02  5.61258498E-05  8.51230115E-07
1.98398474E-02  5.49692588E-05  8.25889504E-07
2.01273790E-02  5.55710242E-05  7.88309514E-07
2.04149106E-02  5.40693830E-05  8.18261306E-07
2.07024421E-02  5.42811111E-05  7.76420841E-07
2.09899735E-02  5.28400210E-05  8.02061778E-07
2.12775047E-02  5.49782332E-05  7.80752987E-07
2.15650359E-02  5.35278912E-05  7.42811567E-07
2.18525669E-02  5.36396918E-05  7.91287681E-07
2.21400979E-02  5.36706897E-05  7.44548977E-07
2.24276287E-02  5.22430350E-05  7.73372018E-07
2.27151594E-02  5.09774820E-05  7.32126623E-07
2.30026900E-02  5.36597546E-05  7.37357667E-07
2.32902205E-02  5.16413375E-05  7.46194405E-07
2.35777508E-02  5.10176553E-05  7.13795279E-07
2.38652811E-02  5.03844244E-05  7.16161795E-07
2.41528112E-02  5.23403988E-05  7.07102851E-07
2.44403412E-02  5.11760919E-05  7.07939610E-07
2.47278711E-02  4.94219586E-05  7.11880804E-07
2.50154008E-02  5.06298987E-05  6.85815150E-07
2.53029305E-02  5.18323638E-05  6.93379894E-07
2.55904600E-02  4.99391473E-05  6.74914402E-07
2.58779894E-02  4.94844961E-05  6.44978816E-07
2.61655186E-02  4.95577815E-05  6.41628466E-07
2.64530477E-02  4.89027802E-05  6.22465611E-07
2.67405767E-02  5.03661171E-05  6.24863414E-07
2.70281055E-02  4.92152072E-05  6.11105069E-07
2.73156342E-02  4.96188541E-05  6.07571970E-07
2.76031628E-02  4.94148667E-05  6.16064281E-07
2.78906913E-02  4.93928397E-05  5.95720607E-07
2.81782195E-02  4.82836295E-05  6.05532640E-07
2.84657477E-02  4.84612497E-05  5.84232330E-07
2.87532757E-02  4.76041265E-05  5.90696203E-07
2.90408036E-02  4.90332339E-05  5.94594702E-07
2.93283313E-02  4.68599592E-05  5.92713072E-07
2.96158589E-02  4.74930360E-05  5.96800046E-07
2.99033863E-02  4.59998738E-05  5.67802329E-07
3.01909135E-02  4.67390539E-05  5.91037016E-07
3.04784407E-02  4.55443453E-05  5.81842205E-07
3.07659676E-02  4.58999281E-05  5.65683380E-07
3.10534944E-02  4.56518247E-05  5.86089285E-07
3.13410211E-02  4.59824453E-05  5.69305529E-07
3.16285476E-02  4.54621237E-05  5.75972141E-07
