Q6XD76	gene_name:ASCL4	activity:1.1435	intensity:1.0503	exp_name:ASCL4
P18850	gene_name:ATF6	activity:1.4933	intensity:1.353	exp_name:ATF6
O43313	gene_name:ATMIN	activity:0.8568	intensity:1.0855	exp_name:ATMIN
Q14CW9	gene_name:ATXN7L3	activity:0.7291	intensity:0.9582	exp_name:ATXN7L3
Q8WY36	gene_name:BBX	activity:1.1715	intensity:1.3409	exp_name:BBX
Q9H0E9	gene_name:BRD8	activity:1.7096	intensity:1.0811	exp_name:BRD8
Q6ZUJ4	gene_name:C3orf62	activity:1.343	intensity:0.848	exp_name:C3orf62
Q96ES7	gene_name:SGF29	activity:1.6042	intensity:1.1045	exp_name:CCDC101/SGF29
P24863	gene_name:CCNC	activity:1.0175	intensity:1.161	exp_name:CCNC
P50750	gene_name:CDK9	activity:1.0006	intensity:1.6327	exp_name:CDK9
P17676	gene_name:CEBPB	activity:1.6659	intensity:1.0911	exp_name:CEBPB
Q9P209	gene_name:CEP72	activity:0.9176	intensity:0.7459	exp_name:CEP72
Q99966	gene_name:CITED1	activity:1.197	intensity:1.0951	exp_name:CITED1
Q99967	gene_name:CITED2	activity:1.6705	intensity:1.511	exp_name:CITED2
Q92793	gene_name:CREBBP	activity:3.0374	intensity:1.5197	exp_name:CREBBP
Q9H175	gene_name:CSRNP2	activity:1.7627	intensity:1.007	exp_name:CSRNP2
P61962	gene_name:DCAF7	activity:1.7562	intensity:1.1409	exp_name:DCAF7
P35638	gene_name:DDIT3	activity:1.7102	intensity:1.2399	exp_name:DDIT3
Q92499	gene_name:DDX1	activity:0.9263	intensity:1.2054	exp_name:DDX1
P49619	gene_name:DGKG	activity:0.9926	intensity:1.0353	exp_name:DGKG
Q9NPF5	gene_name:DMAP1	activity:0.8617	intensity:1.0752	exp_name:DMAP1
Q96JC9	gene_name:EAF1	activity:1.138	intensity:1.1923	exp_name:EAF1
Q99607	gene_name:ELF4	activity:1.5931	intensity:0.9378	exp_name:ELF4
O00472	gene_name:ELL2	activity:1.0828	intensity:1.3745	exp_name:ELL2
Q9HB65	gene_name:ELL3	activity:0.9111	intensity:1.5662	exp_name:ELL3
Q09472	gene_name:EP300	activity:3.026	intensity:1.2143	exp_name:EP300
Q86YD7	gene_name:FAM90A1	activity:1.728	intensity:0.9815	exp_name:FAM90A1
Q8IZU1	gene_name:FAM9A	activity:1.6	intensity:0.9196	exp_name:FAM9A
Q96RJ6	gene_name:FERD3L	activity:1.3354	intensity:1.6009	exp_name:FERD3L
P01100	gene_name:FOS	activity:1.5024	intensity:1.4601	exp_name:FOS
Q92949	gene_name:FOXJ1	activity:1.1799	intensity:0.8913	exp_name:FOXJ1
O15353	gene_name:FOXN1	activity:1.598	intensity:1.1232	exp_name:FOXN1
Q12778	gene_name:FOXO1	activity:1.3195	intensity:0.9998	exp_name:FOXO1
Q6PJQ5	gene_name:FOXR2	activity:0.8261	intensity:1.2564	exp_name:FOXR2
O75293	gene_name:GADD45B	activity:1.5004	intensity:0.8684	exp_name:GADD45B
O95257	gene_name:GADD45G	activity:1.0648	intensity:1.0914	exp_name:GADD45G
P15976	gene_name:GATA1	activity:1.7931	intensity:1.6333	exp_name:GATA1
Q9BQQ3	gene_name:GORASP1	activity:0.8791	intensity:0.677	exp_name:GORASP1
P29084	gene_name:GTF2E2	activity:1.0511	intensity:1.4673	exp_name:GTF2E2
Q13889	gene_name:GTF2H3	activity:1.087	intensity:1.5466	exp_name:GTF2H3
P20718	gene_name:GZMH	activity:0.7773	intensity:0.7769	exp_name:GZMH
P31271	gene_name:HOXA13	activity:1.5044	intensity:1.1705	exp_name:HOXA13
P14652	gene_name:HOXB2	activity:1.1894	intensity:1.2094	exp_name:HOXB2
Q00613	gene_name:HSF1	activity:1.7137	intensity:1.214	exp_name:HSF1
Q02535	gene_name:ID3	activity:1.1698	intensity:1.4888	exp_name:ID3
Q86VZ6	gene_name:JAZF1	activity:2.0839	intensity:0.8157	exp_name:JAZF1
Q7Z4H8	gene_name:POGLUT3	activity:1.5377	intensity:0.9126	exp_name:KDELC2/POGLUT3
Q9UIH9	gene_name:KLF15	activity:1.4791	intensity:1.2138	exp_name:KLF15
Q99612	gene_name:KLF6	activity:1.7819	intensity:1.1999	exp_name:KLF6
O75840	gene_name:KLF7	activity:1.7315	intensity:1.6006	exp_name:KLF7
Q9UBR4	gene_name:LHX3	activity:1.0081	intensity:1.6358	exp_name:LHX3
Q9Y5Q3	gene_name:MAFB	activity:0.6429	intensity:0.8641	exp_name:MAFB
Q8NHZ7	gene_name:MBD3L2	activity:1.127	intensity:1.2564	exp_name:MBD3L2
Q9HAF1	gene_name:MEAF6	activity:1.1129	intensity:1.3092	exp_name:MEAF6
Q9BTT4	gene_name:MED10	activity:0.9691	intensity:1.5412	exp_name:MED10
Q9P086	gene_name:MED11	activity:0.8088	intensity:1.143	exp_name:MED11
Q9H944	gene_name:MED20	activity:0.9343	intensity:1.1377	exp_name:MED20
Q13503	gene_name:MED21	activity:0.9859	intensity:1.228	exp_name:MED21
Q15528	gene_name:MED22	activity:1.043	intensity:1.617	exp_name:MED22
Q71SY5	gene_name:MED25	activity:1.1204	intensity:1.1161	exp_name:MED25
Q9NX70	gene_name:MED29	activity:1.0545	intensity:1.2054	exp_name:MED29
Q9Y3C7	gene_name:MED31	activity:0.8878	intensity:1.3463	exp_name:MED31
Q9NPJ6	gene_name:MED4	activity:0.8348	intensity:1.4466	exp_name:MED4
Q99417	gene_name:MYCBP	activity:1.12	intensity:1.1777	exp_name:MYCBP
P12524	gene_name:MYCL	activity:1.0604	intensity:1.3216	exp_name:MYCL
P15172	gene_name:MYOD1	activity:1.6	intensity:1.2869	exp_name:MYOD1
P15173	gene_name:MYOG	activity:1.644	intensity:1.1035	exp_name:MYOG
Q13562	gene_name:NEUROD1	activity:1.0968	intensity:1.0402	exp_name:NEUROD1
Q92886	gene_name:NEUROG1	activity:1.0219	intensity:1.139	exp_name:NEUROG1
Q15653	gene_name:NFKBIB	activity:0.9232	intensity:1.2869	exp_name:NFKBIB
Q03405	gene_name:PLAUR	activity:1.3864	intensity:0.8749	exp_name:PLAUR
Q15293	gene_name:RCN1	activity:2.3171	intensity:1.2629	exp_name:RCN1
Q01201	gene_name:RELB	activity:1.3125	intensity:1.1666	exp_name:RELB
Q9HAT0	gene_name:ROPN1	activity:1.2047	intensity:0.7844	exp_name:ROPN1
Q96C92	gene_name:ENTR1	activity:1.1833	intensity:0.8618	exp_name:SDCCAG3/ENTR1
Q14140	gene_name:SERTAD2	activity:1.2468	intensity:1.0	exp_name:SERTAD2
Q6ZSM3	gene_name:SLC16A12	activity:1.1327	intensity:1.0226	exp_name:SLC16A12
Q2M3R5	gene_name:SLC35G1	activity:1.0149	intensity:1.07	exp_name:SLC35G1
O60906	gene_name:SMPD2	activity:1.0285	intensity:1.1386	exp_name:SMPD2
Q9BT81	gene_name:SOX7	activity:1.7135	intensity:0.94	exp_name:SOX7
Q495Y7	gene_name:SPDYE7P	activity:0.9527	intensity:1.3207	exp_name:SPDYE7P
O75528	gene_name:TADA3	activity:1.024	intensity:1.0508	exp_name:TADA3
O43680	gene_name:TCF21	activity:1.6996	intensity:1.1505	exp_name:TCF21
Q9Y4P8	gene_name:WIPI2	activity:1.0542	intensity:1.0677	exp_name:WIPI2
Q8IY57	gene_name:YAF2	activity:1.8668	intensity:0.942	exp_name:YAF2
Q96PE6	gene_name:ZIM3	activity:0.6568	intensity:0.8143	exp_name:ZIM3
Q9Y2Q1	gene_name:ZNF257	activity:0.5833	intensity:1.0278	exp_name:ZNF257
Q9C0F3	gene_name:ZNF436	activity:0.5278	intensity:0.5826	exp_name:ZNF436
Q8TD23	gene_name:ZNF675	activity:0.4167	intensity:1.0452	exp_name:ZNF675
Q2QGD7	gene_name:ZXDC	activity:1.062	intensity:1.3755	exp_name:ZXDC
VP64	gene_name:VP64	activity:2.4334	intensity:1.6216	exp_name:VP64
