Q7S8V3,11.1422,22.7768
Q7SEL5,0.4532,-1.0134
Q8TG12,2.8572,10.7773
Q1K5B7,2.2705,1.5619
Q1K5Q2,2.9149,4.5224
Q7RYN9,1.2974,0.0673
Q7S889,0.9668,3.7673
Q7S8K3,0.6708,4.1271
Q7SAN3,0.755,-0.9139
Q7SCM0,1.2518,-1.5911
Q7SHH2,2.3255,2.4186
Q1K5R2,-0.4061,1.0491
Q1K6G0,-0.2571,1.8234
Q7SBQ9,4.1611,10.3245
Q7SDQ8,-1.5706,0.8085
P34898,-1.162,-1.5034
Q1K7Q2,0.0353,3.9225
Q7S4V4,-0.5194,0.0242
Q7SCY7,0.7585,0.0182
Q7SE50,0.1123,0.2712
Q1K705,0.3238,2.4917
Q7S1W8,1.1801,0.3225
Q7S9W9,-0.0245,2.3859
Q7SHY8,0.2218,0.3172
U9W4P8,0.9545,1.9303
V5IKE3,-0.0951,0.8828
V5ILZ6,-0.696,-0.1749
A7UWZ8,0.2027,1.4334
Q7RYP0,-1.0085,1.5858
Q7RZH5,-1.1836,0.4644
Q7S5R5,-0.8315,-0.2143
Q7S632,4.4133,2.3223
Q7S8A6,-1.8745,0.0261
Q7S9F4,-1.0973,0.9461
F5H9U3,0.9046,2.0611
Q1K7Y4,1.9881,5.7645
Q7S2A1,-0.2315,-0.5716
V5IL12,2.142,5.6377
Q1K523,0.6237,2.3175
Q7RY24,3.9052,6.5859
Q7S2N1,1.3139,2.4715
Q7S3S6,0.5647,3.4701
Q7S3W3,3.349,1.8971
Q7S7G6,0.0577,4.1869
Q7SB91,1.2312,1.7809
V5ILS1,-1.1004,-1.4893
Q01631,0.8849,3.1619
Q7RVA8,-1.7074,0.2618
Q7S302,-0.3386,1.831
Q8TG11,2.1228,10.5413
P07685,1.8197,0.5844
Q7RX44,1.4144,0.8519
Q7RYC4,-1.3648,1.7027
Q7RYC6,-0.5862,1.1536
Q7S902,-0.1143,1.6772
Q7SAG2,4.8823,9.2469
Q7SFD9,-1.7669,3.419
Q7RWV9,1.2178,0.371
Q7RZR9,0.6071,1.3095
Q7SGT8,1.5267,-0.0718
V5IKY4,-0.9785,0.3266
V5IN80,3.0432,6.4507
Q1K720,0.9031,1.7335
Q7RZD7,2.218,2.6433
Q7S1S3,0.465,-1.33
Q7SEL0,3.0685,2.6655
Q7SHV6,-0.269,-2.7162
Q7SHZ6,1.5233,0.7001
Q9P5L2,-0.83,3.4869
Q7RXX8,-1.1398,-1.6245
Q7SA65,0.0547,8.5886
Q7SB52,0.1723,-0.2847
V5IMX3,0.8133,1.0544
Q7S0E9,-0.4268,-0.5886
Q7S5H9,1.0448,1.2769
Q7S945,-2.0614,3.1679
Q7SBD9,0.8799,3.8996
Q7SEE2,0.8328,1.1068
Q7SEL7,-0.5765,1.7546
Q7RXB6,0.3619,5.7574
Q7RXQ8,-1.9363,-0.3373
Q7RY84,2.3795,2.8592
Q7S894,1.8938,0.3081
Q7S9M7,2.2126,6.869
Q7SB05,0.4237,3.6131
Q7SDI9,0.2414,2.2072
P13228,-0.0091,0.2483
Q1K7M6,-0.5347,1.8505
Q7S9F3,2.336,4.0452
Q7SCU8,2.7373,2.4977
V5IPY0,0.3763,4.6984
V5IRA9,-0.427,-0.4974
Q1K4Y5,0.0814,0.1145
Q7S416,-1.9583,2.7494
Q7S8N5,-0.4973,4.2499
V5IL06,0.7216,5.4735
Q1K4W9,-0.1489,2.2317
Q7RXM4,-0.0984,-0.4313
Q7S438,2.4054,8.4638
Q7SBN8,3.0776,7.0486
Q7SES6,0.3006,-0.3014
Q7SF34,-0.4109,2.6246
Q86ZF9,2.3537,-1.9544
V5IMB4,2.581,2.9193
V5IP41,0.4774,2.4423
Q1K5B4,-1.4983,-0.7921
Q7S354,2.0233,1.7525
Q7S7E7,0.9338,-0.5976
Q7S7L7,3.4102,1.933
U9W4G0,0.7278,1.6026
U9W8A1,0.5218,-0.4253
A7UWK1,1.4086,3.1063
Q7RYL0,-0.3953,3.8704
Q7S6X6,0.3093,-0.147
F5HDY3,-1.4664,0.715
Q01372,-2.1291,-1.6565
Q7RXK8,0.8633,2.5311
Q7SCS0,3.8353,7.4657
Q1K733,0.5032,3.5927
Q7S1P5,2.7742,0.7748
Q7S9S2,-1.1219,1.5082
Q1K6H9,2.76,7.0564
Q7RYH8,-0.2789,8.0304
Q7S6X4,4.5064,2.952
Q7SC98,1.2003,0.4451
Q9P3X9,-0.7167,2.2634
U9W4I0,-0.2805,0.266
P31540,-0.538,1.1195
Q7RZL4,0.0289,0.4481
Q7SER1,0.2702,-0.545
Q7SGB2,-0.1142,0.7166
Q1K6S8,0.1301,-1.7985
Q7RX28,3.8693,17.0187
Q7RYQ4,0.2155,2.0581
Q7SCL5,-0.1552,0.4015
Q7SI29,0.6092,1.9152
A3RNI0,3.8356,7.3081
Q1K5R7,1.6832,1.3323
Q7RXE9,0.5331,1.7819
Q7SAL0,-0.5917,0.2422
V5IQ39,1.0779,2.1724
Q1K6Y9,-0.3409,0.2941
Q1K904,1.2053,0.4431
Q7RXD5,4.5653,5.6163
Q7S473,-0.9282,1.8161
Q7S642,2.2253,5.5142
Q7SAC1,-0.9963,0.6719
V5ILT0,-1.9144,0.3161
V5ILY9,3.4751,13.0716
A7UW71,2.1392,4.174
Q1K7D4,2.4142,8.6289
Q7RYZ6,-0.1311,1.6517
Q7RZH2,2.7081,-0.7425
Q7S2C4,1.3983,3.379
Q7S7S9,1.7516,4.3981
Q7S8J2,-0.06,-0.3827
Q9C270,1.9337,1.1991
V5INV2,2.0904,0.1162
V5IQK1,-0.7803,0.2549
