chr	track	poi	end	ext_start	ext_end	value	origin
chrI	1	538	539	463	613	538	Macisaac
chrI	1	538	539	463	613	538	pachkov
chrI	1	538	539	463	613	538	jaspar
chrI	1	538	539	463	613	538	badis
chrI	2	2524	2525	2449	2599	2524	kubik
chrI	3	3112	3113	3037	3187	3112	jaspar
chrI	4	5187	5188	5112	5262	5187	badis
chrI	5	10058	10059	9983	10133	10058	jaspar
chrI	5	10058	10059	9983	10133	10058	badis
chrI	6	13656	13657	13581	13731	13656	pachkov
chrI	7	13748	13749	13673	13823	13748	badis
chrI	8	15096	15097	15021	15171	15096	badis
chrI	9	17623	17624	17548	17698	17623	badis
chrI	10	18486	18487	18411	18561	18486	jaspar
chrI	11	19652	19653	19577	19727	19652	jaspar
chrI	12	27236	27237	27161	27311	27236	pachkov
chrI	12	27236	27237	27161	27311	27236	jaspar
chrI	12	27236	27237	27161	27311	27236	badis
chrI	12	27236	27237	27163	27313	27238	jaspar
chrI	13	29864	29865	29789	29939	29864	Macisaac
chrI	13	29864	29865	29789	29939	29864	pachkov
chrI	13	29864	29865	29789	29939	29864	jaspar
chrI	13	29864	29865	29789	29939	29864	badis
chrI	14	33084	33085	33009	33159	33084	pachkov
chrI	14	33084	33085	33011	33161	33086	jaspar
chrI	14	33084	33085	33011	33161	33086	badis
chrI	14	33084	33085	33011	33161	33086	kubik
chrI	15	35651	35652	35576	35726	35651	badis
chrI	16	37126	37127	37051	37201	37126	pachkov
chrI	17	40004	40005	39929	40079	40004	badis
chrI	18	41370	41371	41295	41445	41370	Macisaac
chrI	18	41370	41371	41295	41445	41370	pachkov
chrI	18	41370	41371	41295	41445	41370	jaspar
chrI	19	44296	44297	44221	44371	44296	jaspar
chrI	20	45326	45327	45251	45401	45326	Macisaac
chrI	20	45326	45327	45251	45401	45326	pachkov
chrI	20	45326	45327	45251	45401	45326	jaspar
chrI	20	45326	45327	45251	45401	45326	badis
chrI	21	45448	45449	45373	45523	45448	Macisaac
chrI	22	45506	45507	45373	45523	45448	Macisaac
chrI	21	45448	45449	45373	45523	45448	pachkov
chrI	22	45506	45507	45373	45523	45448	pachkov
chrI	21	45448	45449	45373	45523	45448	jaspar
chrI	22	45506	45507	45373	45523	45448	jaspar
chrI	21	45448	45449	45373	45523	45448	badis
chrI	22	45506	45507	45373	45523	45448	badis
chrI	21	45448	45449	45431	45581	45506	Macisaac
chrI	22	45506	45507	45431	45581	45506	Macisaac
chrI	21	45448	45449	45431	45581	45506	pachkov
chrI	22	45506	45507	45431	45581	45506	pachkov
chrI	21	45448	45449	45431	45581	45506	jaspar
chrI	22	45506	45507	45431	45581	45506	jaspar
chrI	21	45448	45449	45431	45581	45506	badis
chrI	22	45506	45507	45431	45581	45506	badis
chrI	23	61170	61171	61095	61245	61170	Macisaac
chrI	23	61170	61171	61095	61245	61170	pachkov
chrI	23	61170	61171	61095	61245	61170	jaspar
chrI	23	61170	61171	61095	61245	61170	badis
chrI	23	61170	61171	61097	61247	61172	jaspar
chrI	23	61170	61171	61097	61247	61172	kubik
chrI	24	61662	61663	61587	61737	61662	pachkov
chrI	25	62664	62665	62589	62739	62664	Macisaac
chrI	25	62664	62665	62589	62739	62664	jaspar
chrI	25	62664	62665	62589	62739	62664	badis
chrI	25	62664	62665	62591	62741	62666	jaspar
chrI	25	62664	62665	62591	62741	62666	kubik
chrI	25	62664	62665	62605	62755	62680	pachkov
chrI	25	62664	62665	62605	62755	62680	jaspar
chrI	25	62664	62665	62605	62755	62680	badis
chrI	25	62664	62665	62607	62757	62682	jaspar
chrI	26	65398	65399	65323	65473	65398	pachkov
chrI	26	65398	65399	65323	65473	65398	jaspar
chrI	27	68582	68583	68507	68657	68582	pachkov
chrI	27	68582	68583	68507	68657	68582	jaspar
chrI	27	68582	68583	68507	68657	68582	badis
chrI	28	70954	70955	70879	71029	70954	Macisaac
chrI	28	70954	70955	70879	71029	70954	pachkov
chrI	28	70954	70955	70879	71029	70954	jaspar
chrI	28	70954	70955	70881	71031	70956	jaspar
chrI	28	70954	70955	70881	71031	70956	badis
chrI	29	71182	71183	71107	71257	71182	pachkov
chrI	30	76300	76301	76225	76375	76300	pachkov
chrI	30	76300	76301	76225	76375	76300	jaspar
chrI	30	76300	76301	76225	76375	76300	badis
chrI	30	76300	76301	76225	76375	76300	kubik
chrI	31	78228	78229	78153	78303	78228	pachkov
chrI	32	78380	78381	78305	78455	78380	pachkov
chrI	32	78380	78381	78305	78455	78380	jaspar
chrI	32	78380	78381	78305	78455	78380	badis
chrI	33	82952	82953	82877	83027	82952	pachkov
chrI	34	83482	83483	83407	83557	83482	jaspar
chrI	34	83482	83483	83407	83557	83482	badis
chrI	35	84368	84369	84293	84443	84368	Macisaac
chrI	35	84368	84369	84293	84443	84368	pachkov
chrI	35	84368	84369	84293	84443	84368	jaspar
chrI	36	84580	84581	84505	84655	84580	kubik
chrI	36	84580	84581	84515	84665	84590	jaspar
chrI	36	84580	84581	84515	84665	84590	badis
chrI	37	85107	85108	85032	85182	85107	badis
chrI	38	87180	87181	87105	87255	87180	kubik
chrI	39	89409	89410	89334	89484	89409	badis
chrI	40	89766	89767	89691	89841	89766	jaspar
chrI	41	99104	99105	99029	99179	99104	jaspar
chrI	42	99882	99883	99807	99957	99882	kubik
chrI	43	100482	100483	100407	100557	100482	pachkov
chrI	44	102832	102833	102757	102907	102832	jaspar
chrI	45	103360	103361	103285	103435	103360	jaspar
chrI	46	104821	104822	104746	104896	104821	badis
chrI	47	106541	106542	106466	106616	106541	badis
chrI	48	106970	106971	106895	107045	106970	pachkov
chrI	49	107776	107777	107701	107851	107776	jaspar
chrI	50	107865	107866	107790	107940	107865	badis
chrI	51	108796	108797	108721	108871	108796	Macisaac
chrI	51	108796	108797	108721	108871	108796	pachkov
chrI	51	108796	108797	108721	108871	108796	jaspar
chrI	51	108796	108797	108721	108871	108796	badis
chrI	51	108796	108797	108721	108871	108796	kubik
chrI	52	108918	108919	108843	108993	108918	pachkov
chrI	52	108918	108919	108843	108993	108918	jaspar
chrI	53	109476	109477	109401	109551	109476	pachkov
chrI	54	111522	111523	111447	111597	111522	jaspar
chrI	55	113624	113625	113549	113699	113624	pachkov
chrI	56	114032	114033	113957	114107	114032	jaspar
chrI	56	114032	114033	113959	114109	114034	jaspar
chrI	56	114032	114033	113959	114109	114034	badis
chrI	57	114216	114217	114141	114291	114216	pachkov
chrI	57	114216	114217	114141	114291	114216	jaspar
chrI	57	114216	114217	114141	114291	114216	badis
chrI	58	116704	116705	116629	116779	116704	jaspar
chrI	59	117864	117865	117789	117939	117864	badis
chrI	60	118468	118469	118393	118543	118468	badis
chrI	61	119758	119759	119683	119833	119758	kubik
chrI	62	120566	120567	120491	120641	120566	pachkov
chrI	62	120566	120567	120491	120641	120566	jaspar
chrI	62	120566	120567	120491	120641	120566	badis
chrI	63	123072	123073	122997	123147	123072	badis
chrI	64	123776	123777	123701	123851	123776	pachkov
chrI	64	123776	123777	123701	123851	123776	jaspar
chrI	65	124682	124683	124607	124757	124682	Macisaac
chrI	65	124682	124683	124607	124757	124682	pachkov
chrI	65	124682	124683	124607	124757	124682	jaspar
chrI	65	124682	124683	124607	124757	124682	badis
chrI	65	124682	124683	124607	124757	124682	kubik
chrI	66	129174	129175	129099	129249	129174	jaspar
chrI	67	130278	130279	130203	130353	130278	jaspar
chrI	67	130278	130279	130203	130353	130278	badis
chrI	68	132096	132097	132021	132171	132096	Macisaac
chrI	68	132096	132097	132021	132171	132096	pachkov
chrI	68	132096	132097	132021	132171	132096	jaspar
chrI	68	132096	132097	132021	132171	132096	badis
chrI	68	132096	132097	132021	132171	132096	kubik
chrI	69	138518	138519	138443	138593	138518	pachkov
chrI	69	138518	138519	138443	138593	138518	jaspar
chrI	69	138518	138519	138443	138593	138518	kubik
chrI	70	141832	141833	141757	141907	141832	Macisaac
chrI	70	141832	141833	141757	141907	141832	pachkov
chrI	70	141832	141833	141757	141907	141832	jaspar
chrI	70	141832	141833	141759	141909	141834	jaspar
chrI	70	141832	141833	141759	141909	141834	badis
chrI	71	142912	142913	142837	142987	142912	jaspar
chrI	71	142912	142913	142838	142988	142913	badis
chrI	72	145265	145266	145190	145340	145265	badis
chrI	73	146962	146963	146887	147037	146962	jaspar
chrI	74	152860	152861	152785	152935	152860	jaspar
chrI	75	155277	155278	155202	155352	155277	badis
chrI	75	155277	155278	155203	155353	155278	badis
chrI	76	158746	158747	158671	158821	158746	kubik
chrI	77	167164	167165	167089	167239	167164	badis
chrI	78	168328	168329	168253	168403	168328	pachkov
chrI	79	170097	170098	170022	170172	170097	badis
chrI	80	170764	170765	170689	170839	170764	badis
chrI	80	170764	170765	170690	170840	170765	badis
chrI	81	173890	173891	173815	173965	173890	jaspar
chrI	82	178630	178631	178555	178705	178630	pachkov
chrI	83	182664	182665	182589	182739	182664	Macisaac
chrI	83	182664	182665	182589	182739	182664	pachkov
chrI	83	182664	182665	182589	182739	182664	jaspar
chrI	83	182664	182665	182589	182739	182664	badis
chrI	83	182664	182665	182591	182741	182666	jaspar
chrI	84	187988	187989	187913	188063	187988	badis
chrI	84	187988	187989	187914	188064	187989	badis
chrI	85	189534	189535	189459	189609	189534	Macisaac
chrI	85	189534	189535	189459	189609	189534	pachkov
chrI	85	189534	189535	189459	189609	189534	jaspar
chrI	85	189534	189535	189459	189609	189534	badis
chrI	86	189834	189835	189759	189909	189834	Macisaac
chrI	86	189834	189835	189759	189909	189834	pachkov
chrI	86	189834	189835	189759	189909	189834	jaspar
chrI	86	189834	189835	189759	189909	189834	badis
chrI	87	190190	190191	190115	190265	190190	jaspar
chrI	87	190190	190191	190117	190267	190192	jaspar
chrI	87	190190	190191	190117	190267	190192	badis
chrI	88	190456	190457	190381	190531	190456	Macisaac
chrI	88	190456	190457	190381	190531	190456	pachkov
chrI	88	190456	190457	190383	190533	190458	jaspar
chrI	89	190566	190567	190491	190641	190566	pachkov
chrI	89	190566	190567	190491	190641	190566	jaspar
chrI	89	190566	190567	190491	190641	190566	badis
chrI	90	190868	190869	190793	190943	190868	Macisaac
chrI	90	190868	190869	190793	190943	190868	jaspar
chrI	91	191314	191315	191239	191389	191314	Macisaac
chrI	92	191336	191337	191239	191389	191314	Macisaac
chrI	91	191314	191315	191239	191389	191314	pachkov
chrI	92	191336	191337	191239	191389	191314	pachkov
chrI	91	191314	191315	191241	191391	191316	jaspar
chrI	92	191336	191337	191241	191391	191316	jaspar
chrI	91	191314	191315	191261	191411	191336	pachkov
chrI	92	191336	191337	191261	191411	191336	pachkov
chrI	93	191492	191493	191417	191567	191492	jaspar
chrI	93	191492	191493	191417	191567	191492	badis
chrI	94	191998	191999	191923	192073	191998	Macisaac
chrI	94	191998	191999	191923	192073	191998	pachkov
chrI	94	191998	191999	191923	192073	191998	jaspar
chrI	94	191998	191999	191923	192073	191998	badis
chrI	94	191998	191999	191925	192075	192000	jaspar
chrI	95	196593	196594	196518	196668	196593	badis
chrI	96	200520	200521	200445	200595	200520	pachkov
chrI	96	200520	200521	200445	200595	200520	jaspar
chrI	96	200520	200521	200445	200595	200520	badis
chrI	96	200520	200521	200447	200597	200522	jaspar
chrI	97	201932	201933	201857	202007	201932	jaspar
chrI	98	212462	212463	212387	212537	212462	jaspar
chrI	99	213464	213465	213389	213539	213464	badis
chrI	100	214479	214480	214404	214554	214479	badis
chrI	101	218544	218545	218469	218619	218544	badis
chrI	102	221434	221435	221359	221509	221434	pachkov
chrI	103	223460	223461	223385	223535	223460	jaspar
chrI	104	229676	229677	229601	229751	229676	Macisaac
chrI	104	229676	229677	229601	229751	229676	pachkov
chrI	104	229676	229677	229601	229751	229676	jaspar
chrI	104	229676	229677	229601	229751	229676	badis
chrI	105	230044	230045	229969	230119	230044	Macisaac
chrI	105	230044	230045	229969	230119	230044	pachkov
chrI	105	230044	230045	229969	230119	230044	jaspar
chrI	105	230044	230045	229969	230119	230044	badis
chrII	106	5768	5769	5693	5843	5768	jaspar
chrII	106	5768	5769	5695	5845	5770	jaspar
chrII	106	5768	5769	5695	5845	5770	badis
chrII	107	6344	6345	6269	6419	6344	Macisaac
chrII	107	6344	6345	6269	6419	6344	pachkov
chrII	107	6344	6345	6269	6419	6344	jaspar
chrII	107	6344	6345	6269	6419	6344	badis
chrII	107	6344	6345	6271	6421	6346	jaspar
chrII	108	8530	8531	8455	8605	8530	badis
chrII	109	10780	10781	10705	10855	10780	badis
chrII	110	18000	18001	17925	18075	18000	kubik
chrII	111	21394	21395	21319	21469	21394	jaspar
chrII	111	21394	21395	21321	21471	21396	jaspar
chrII	111	21394	21395	21321	21471	21396	badis
chrII	111	21394	21395	21321	21471	21396	kubik
chrII	112	23884	23885	23809	23959	23884	pachkov
chrII	112	23884	23885	23811	23961	23886	kubik
chrII	113	29814	29815	29739	29889	29814	jaspar
chrII	114	31046	31047	30971	31121	31046	pachkov
chrII	115	32219	32220	32144	32294	32219	badis
chrII	116	33956	33957	33881	34031	33956	pachkov
chrII	116	33956	33957	33883	34033	33958	jaspar
chrII	117	35440	35441	35365	35515	35440	jaspar
chrII	118	37964	37965	37889	38039	37964	jaspar
chrII	118	37964	37965	37889	38039	37964	badis
chrII	118	37964	37965	37891	38041	37966	Macisaac
chrII	118	37964	37965	37891	38041	37966	pachkov
chrII	118	37964	37965	37891	38041	37966	jaspar
chrII	118	37964	37965	37893	38043	37968	jaspar
chrII	118	37964	37965	37893	38043	37968	badis
chrII	119	39232	39233	39157	39307	39232	jaspar
chrII	120	40405	40406	40330	40480	40405	badis
chrII	121	40650	40651	40575	40725	40650	pachkov
chrII	121	40650	40651	40575	40725	40650	jaspar
chrII	121	40650	40651	40575	40725	40650	badis
chrII	121	40650	40651	40577	40727	40652	jaspar
chrII	121	40650	40651	40577	40727	40652	kubik
chrII	122	44909	44910	44834	44984	44909	badis
chrII	123	47270	47271	47195	47345	47270	Macisaac
chrII	123	47270	47271	47195	47345	47270	pachkov
chrII	123	47270	47271	47195	47345	47270	jaspar
chrII	123	47270	47271	47195	47345	47270	badis
chrII	123	47270	47271	47197	47347	47272	jaspar
chrII	123	47270	47271	47197	47347	47272	kubik
chrII	124	53124	53125	53049	53199	53124	jaspar
chrII	125	61380	61381	61305	61455	61380	jaspar
chrII	126	67324	67325	67249	67399	67324	pachkov
chrII	126	67324	67325	67249	67399	67324	jaspar
chrII	126	67324	67325	67249	67399	67324	badis
chrII	126	67324	67325	67251	67401	67326	jaspar
chrII	127	69658	69659	69583	69733	69658	kubik
chrII	128	73758	73759	73683	73833	73758	pachkov
chrII	129	74552	74553	74477	74627	74552	jaspar
chrII	130	75076	75077	75001	75151	75076	Macisaac
chrII	130	75076	75077	75001	75151	75076	pachkov
chrII	130	75076	75077	75001	75151	75076	jaspar
chrII	130	75076	75077	75001	75151	75076	badis
chrII	130	75076	75077	75001	75151	75076	kubik
chrII	131	79148	79149	79073	79223	79148	badis
chrII	132	83180	83181	83105	83255	83180	pachkov
chrII	133	86442	86443	86367	86517	86442	badis
chrII	134	87234	87235	87159	87309	87234	badis
chrII	135	87902	87903	87827	87977	87902	Macisaac
chrII	135	87902	87903	87827	87977	87902	pachkov
chrII	135	87902	87903	87827	87977	87902	jaspar
chrII	135	87902	87903	87827	87977	87902	badis
chrII	136	91132	91133	91057	91207	91132	pachkov
chrII	137	91372	91373	91297	91447	91372	pachkov
chrII	138	100278	100279	100203	100353	100278	pachkov
chrII	138	100278	100279	100203	100353	100278	jaspar
chrII	138	100278	100279	100205	100355	100280	jaspar
chrII	138	100278	100279	100205	100355	100280	badis
chrII	138	100278	100279	100205	100355	100280	kubik
chrII	139	100952	100953	100877	101027	100952	jaspar
chrII	140	101374	101375	101299	101449	101374	Macisaac
chrII	141	101414	101415	101299	101449	101374	Macisaac
chrII	140	101374	101375	101299	101449	101374	pachkov
chrII	141	101414	101415	101299	101449	101374	pachkov
chrII	140	101374	101375	101299	101449	101374	jaspar
chrII	141	101414	101415	101299	101449	101374	jaspar
chrII	140	101374	101375	101299	101449	101374	badis
chrII	141	101414	101415	101299	101449	101374	badis
chrII	140	101374	101375	101339	101489	101414	Macisaac
chrII	141	101414	101415	101339	101489	101414	Macisaac
chrII	140	101374	101375	101339	101489	101414	pachkov
chrII	141	101414	101415	101339	101489	101414	pachkov
chrII	140	101374	101375	101339	101489	101414	jaspar
chrII	141	101414	101415	101339	101489	101414	jaspar
chrII	140	101374	101375	101339	101489	101414	badis
chrII	141	101414	101415	101339	101489	101414	badis
chrII	142	111318	111319	111243	111393	111318	kubik
chrII	143	113546	113547	113471	113621	113546	Macisaac
chrII	143	113546	113547	113471	113621	113546	pachkov
chrII	143	113546	113547	113471	113621	113546	jaspar
chrII	143	113546	113547	113473	113623	113548	jaspar
chrII	143	113546	113547	113473	113623	113548	badis
chrII	143	113546	113547	113473	113623	113548	kubik
chrII	144	115600	115601	115525	115675	115600	pachkov
chrII	144	115600	115601	115525	115675	115600	jaspar
chrII	144	115600	115601	115525	115675	115600	badis
chrII	145	116740	116741	116665	116815	116740	pachkov
chrII	146	118780	118781	118705	118855	118780	badis
chrII	147	121602	121603	121527	121677	121602	pachkov
chrII	147	121602	121603	121527	121677	121602	jaspar
chrII	147	121602	121603	121527	121677	121602	badis
chrII	148	122840	122841	122765	122915	122840	jaspar
chrII	149	124932	124933	124857	125007	124932	Macisaac
chrII	149	124932	124933	124857	125007	124932	pachkov
chrII	149	124932	124933	124857	125007	124932	jaspar
chrII	149	124932	124933	124859	125009	124934	jaspar
