chr	track	poi	end	ext_start	ext_end	value	origin
chrI	1	154	155	79	229	154	in vivo
chrI	2	238	239	163	313	238	in vivo
chrI	3	324	325	249	399	324	in vivo
chrI	4	504	505	429	579	504	in vivo
chrI	5	538	539	429	579	504	in vivo
chrI	4	504	505	433	583	508	in vivo
chrI	5	538	539	433	583	508	in vivo
chrI	4	504	505	463	613	538	pwm
chrI	5	538	539	463	613	538	pwm
chrI	6	705	706	630	780	705	in vivo
chrI	7	736	737	630	780	705	in vivo
chrI	6	705	706	661	811	736	in vivo
chrI	7	736	737	661	811	736	in vivo
chrI	8	800	801	661	811	736	in vivo
chrI	7	736	737	725	875	800	in vivo
chrI	8	800	801	725	875	800	in vivo
chrI	9	954	955	879	1029	954	in vivo
chrI	10	1106	1107	1031	1181	1106	in vivo
chrI	11	1262	1263	1187	1337	1262	in vivo
chrI	12	1432	1433	1357	1507	1432	in vivo
chrI	13	1458	1459	1357	1507	1432	in vivo
chrI	12	1432	1433	1383	1533	1458	in vivo
chrI	13	1458	1459	1383	1533	1458	in vivo
chrI	14	1509	1510	1383	1533	1458	in vivo
chrI	13	1458	1459	1434	1584	1509	in vivo
chrI	14	1509	1510	1434	1584	1509	in vivo
chrI	15	1672	1673	1597	1747	1672	in vivo
chrI	16	2490	2491	2415	2565	2490	in vivo
chrI	17	2524	2525	2415	2565	2490	in vivo
chrI	16	2490	2491	2449	2599	2524	pwm
chrI	17	2524	2525	2449	2599	2524	pwm
chrI	18	2746	2747	2671	2821	2746	in vivo
chrI	19	2924	2925	2849	2999	2924	in vivo
chrI	20	3112	3113	3037	3187	3112	pwm
chrI	21	5187	5188	5112	5262	5187	pwm
chrI	22	10058	10059	9983	10133	10058	pwm
chrI	23	12722	12723	12647	12797	12722	in vivo
chrI	24	13656	13657	13581	13731	13656	pwm
chrI	25	13748	13749	13673	13823	13748	pwm
chrI	26	15096	15097	15021	15171	15096	pwm
chrI	27	17623	17624	17548	17698	17623	pwm
chrI	28	17884	17885	17809	17959	17884	in vivo
chrI	29	18486	18487	18411	18561	18486	pwm
chrI	30	19652	19653	19577	19727	19652	pwm
chrI	31	20908	20909	20833	20983	20908	in vivo
chrI	32	20994	20995	20919	21069	20994	in vivo
chrI	33	21104	21105	21029	21179	21104	in vivo
chrI	34	21138	21139	21029	21179	21104	in vivo
chrI	33	21104	21105	21063	21213	21138	in vivo
chrI	34	21138	21139	21063	21213	21138	in vivo
chrI	35	27236	27237	27161	27311	27236	pwm
chrI	35	27236	27237	27163	27313	27238	pwm
chrI	36	28428	28429	28353	28503	28428	in vivo
chrI	37	28596	28597	28521	28671	28596	in vivo
chrI	38	28666	28667	28521	28671	28596	in vivo
chrI	37	28596	28597	28591	28741	28666	in vivo
chrI	38	28666	28667	28591	28741	28666	in vivo
chrI	37	28596	28597	28595	28745	28670	in vivo
chrI	38	28666	28667	28595	28745	28670	in vivo
chrI	39	29790	29791	29715	29865	29790	in vivo
chrI	40	29854	29855	29715	29865	29790	in vivo
chrI	39	29790	29791	29779	29929	29854	in vivo
chrI	40	29854	29855	29779	29929	29854	in vivo
chrI	41	29910	29911	29779	29929	29854	in vivo
chrI	39	29790	29791	29789	29939	29864	in vivo
chrI	40	29854	29855	29789	29939	29864	in vivo
chrI	41	29910	29911	29789	29939	29864	in vivo
chrI	39	29790	29791	29789	29939	29864	pwm
chrI	40	29854	29855	29789	29939	29864	pwm
chrI	41	29910	29911	29789	29939	29864	pwm
chrI	40	29854	29855	29805	29955	29880	in vivo
chrI	41	29910	29911	29805	29955	29880	in vivo
chrI	42	29946	29947	29805	29955	29880	in vivo
chrI	40	29854	29855	29835	29985	29910	in vivo
chrI	41	29910	29911	29835	29985	29910	in vivo
chrI	42	29946	29947	29835	29985	29910	in vivo
chrI	41	29910	29911	29871	30021	29946	in vivo
chrI	42	29946	29947	29871	30021	29946	in vivo
chrI	43	30964	30965	30889	31039	30964	in vivo
chrI	44	31066	31067	30991	31141	31066	in vivo
chrI	45	31245	31246	31170	31320	31245	in vivo
chrI	46	31470	31471	31395	31545	31470	in vivo
chrI	47	31654	31655	31579	31729	31654	in vivo
chrI	47	31654	31655	31655	31805	31730	in vivo
chrI	48	31730	31731	31655	31805	31730	in vivo
chrI	49	31882	31883	31807	31957	31882	in vivo
chrI	50	33062	33063	32987	33137	33062	in vivo
chrI	51	33084	33085	32987	33137	33062	in vivo
chrI	50	33062	33063	33009	33159	33084	pwm
chrI	51	33084	33085	33009	33159	33084	pwm
chrI	50	33062	33063	33011	33161	33086	pwm
chrI	51	33084	33085	33011	33161	33086	pwm
chrI	50	33062	33063	33023	33173	33098	in vivo
chrI	51	33084	33085	33023	33173	33098	in vivo
chrI	52	33298	33299	33223	33373	33298	in vivo
chrI	53	34918	34919	34843	34993	34918	in vivo
chrI	54	35651	35652	35576	35726	35651	pwm
chrI	55	37126	37127	37051	37201	37126	pwm
chrI	56	38892	38893	38817	38967	38892	in vivo
chrI	57	39046	39047	38971	39121	39046	in vivo
chrI	58	40004	40005	39929	40079	40004	pwm
chrI	59	41370	41371	41295	41445	41370	pwm
chrI	60	42038	42039	41963	42113	42038	in vivo
chrI	61	42298	42299	42223	42373	42298	in vivo
chrI	62	44296	44297	44221	44371	44296	pwm
chrI	63	45078	45079	45003	45153	45078	in vivo
chrI	64	45124	45125	45003	45153	45078	in vivo
chrI	63	45078	45079	45049	45199	45124	in vivo
chrI	64	45124	45125	45049	45199	45124	in vivo
chrI	65	45305	45306	45230	45380	45305	in vivo
chrI	66	45326	45327	45230	45380	45305	in vivo
chrI	65	45305	45306	45251	45401	45326	in vivo
chrI	66	45326	45327	45251	45401	45326	in vivo
chrI	65	45305	45306	45251	45401	45326	pwm
chrI	66	45326	45327	45251	45401	45326	pwm
chrI	65	45305	45306	45261	45411	45336	in vivo
chrI	66	45326	45327	45261	45411	45336	in vivo
chrI	67	45404	45405	45261	45411	45336	in vivo
chrI	67	45404	45405	45329	45479	45404	in vivo
chrI	68	45448	45449	45329	45479	45404	in vivo
chrI	67	45404	45405	45373	45523	45448	in vivo
chrI	68	45448	45449	45373	45523	45448	in vivo
chrI	69	45491	45492	45373	45523	45448	in vivo
chrI	67	45404	45405	45373	45523	45448	pwm
chrI	68	45448	45449	45373	45523	45448	pwm
chrI	69	45491	45492	45373	45523	45448	pwm
chrI	68	45448	45449	45416	45566	45491	in vivo
chrI	69	45491	45492	45416	45566	45491	in vivo
chrI	68	45448	45449	45431	45581	45506	pwm
chrI	69	45491	45492	45431	45581	45506	pwm
chrI	70	45700	45701	45625	45775	45700	in vivo
chrI	71	45896	45897	45821	45971	45896	in vivo
chrI	72	48348	48349	48273	48423	48348	in vivo
chrI	73	48393	48394	48273	48423	48348	in vivo
chrI	72	48348	48349	48318	48468	48393	in vivo
chrI	73	48393	48394	48318	48468	48393	in vivo
chrI	74	48480	48481	48405	48555	48480	in vivo
chrI	75	56966	56967	56891	57041	56966	in vivo
chrI	76	57452	57453	57377	57527	57452	in vivo
chrI	77	57642	57643	57567	57717	57642	in vivo
chrI	78	58180	58181	58105	58255	58180	in vivo
chrI	79	58346	58347	58271	58421	58346	in vivo
chrI	80	58526	58527	58451	58601	58526	in vivo
chrI	81	58572	58573	58451	58601	58526	in vivo
chrI	80	58526	58527	58497	58647	58572	in vivo
chrI	81	58572	58573	58497	58647	58572	in vivo
chrI	82	58609	58610	58497	58647	58572	in vivo
chrI	81	58572	58573	58534	58684	58609	in vivo
chrI	82	58609	58610	58534	58684	58609	in vivo
chrI	83	61158	61159	61083	61233	61158	in vivo
chrI	83	61158	61159	61095	61245	61170	in vivo
chrI	83	61158	61159	61095	61245	61170	pwm
chrI	83	61158	61159	61097	61247	61172	pwm
chrI	83	61158	61159	61109	61259	61184	in vivo
chrI	84	61254	61255	61109	61259	61184	in vivo
chrI	84	61254	61255	61179	61329	61254	in vivo
chrI	85	61662	61663	61587	61737	61662	pwm
chrI	86	62471	62472	62396	62546	62471	in vivo
chrI	87	62664	62665	62589	62739	62664	in vivo
chrI	87	62664	62665	62589	62739	62664	pwm
chrI	87	62664	62665	62591	62741	62666	pwm
chrI	87	62664	62665	62602	62752	62677	in vivo
chrI	87	62664	62665	62605	62755	62680	pwm
chrI	87	62664	62665	62607	62757	62682	pwm
chrI	87	62664	62665	62619	62769	62694	in vivo
chrI	88	62900	62901	62825	62975	62900	in vivo
chrI	89	65398	65399	65323	65473	65398	pwm
chrI	90	68064	68065	67989	68139	68064	in vivo
chrI	91	68144	68145	68069	68219	68144	in vivo
chrI	92	68178	68179	68069	68219	68144	in vivo
chrI	93	68216	68217	68069	68219	68144	in vivo
chrI	91	68144	68145	68103	68253	68178	in vivo
chrI	92	68178	68179	68103	68253	68178	in vivo
chrI	93	68216	68217	68103	68253	68178	in vivo
chrI	91	68144	68145	68141	68291	68216	in vivo
chrI	92	68178	68179	68141	68291	68216	in vivo
chrI	93	68216	68217	68141	68291	68216	in vivo
chrI	94	68360	68361	68285	68435	68360	in vivo
chrI	95	68582	68583	68507	68657	68582	pwm
